date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,4,0,0,4
2020-01-27,5,0,0,5
2020-01-28,5,0,0,5
2020-01-29,6,0,0,6
2020-01-30,9,2,0,7
2020-01-31,9,2,0,7
2020-02-01,12,2,0,10
2020-02-02,12,2,0,10
2020-02-03,12,2,0,10
2020-02-04,13,2,0,11
2020-02-05,13,2,0,11
2020-02-06,14,2,0,12
2020-02-07,15,2,0,13
2020-02-08,15,2,0,13
2020-02-09,15,2,0,13
2020-02-10,15,2,0,13
2020-02-11,15,2,0,13
2020-02-12,15,2,0,13
2020-02-13,15,8,0,7
2020-02-14,15,8,0,7
2020-02-15,15,8,0,7
2020-02-16,15,8,0,7
2020-02-17,15,10,0,5
2020-02-18,15,10,0,5
2020-02-19,15,10,0,5
2020-02-20,15,10,0,5
2020-02-21,15,11,0,4
2020-02-22,15,11,0,4
2020-02-23,15,11,0,4
2020-02-24,15,11,0,4
2020-02-25,15,11,0,4
2020-02-26,15,11,0,4
2020-02-27,15,11,0,4
2020-02-28,15,11,0,4
2020-02-29,25,11,0,14
2020-03-01,27,11,1,15
2020-03-02,30,11,1,18
2020-03-03,39,11,1,27
2020-03-04,52,11,2,39
2020-03-05,55,21,2,32
2020-03-06,60,21,2,37
2020-03-07,63,21,2,40
2020-03-08,76,21,3,52
2020-03-09,91,21,3,67
2020-03-10,107,21,3,83
2020-03-11,128,21,3,104
2020-03-12,128,21,3,104
2020-03-13,200,23,3,174
2020-03-14,250,23,3,224
2020-03-15,297,23,3,271
2020-03-16,377,23,3,351
2020-03-17,452,23,5,424
2020-03-18,568,23,6,539
2020-03-19,681,26,6,649
2020-03-20,791,26,7,758
2020-03-21,1071,26,7,1038
2020-03-22,1549,88,7,1454
2020-03-23,1682,88,7,1587
2020-03-24,2044,115,8,1921
2020-03-25,2364,119,8,2237
2020-03-26,2810,172,13,2625
2020-03-27,3143,194,13,2936
2020-03-28,3640,244,14,3382
2020-03-29,3984,244,16,3724
2020-03-30,4361,257,17,4087
2020-03-31,4559,358,18,4183
2020-04-01,4862,422,20,4420
