date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,2,0,0,2
2020-02-26,2,0,0,2
2020-02-27,3,0,0,3
2020-02-28,3,0,0,3
2020-02-29,9,0,0,9
2020-03-01,14,0,0,14
2020-03-02,18,0,0,18
2020-03-03,21,0,0,21
2020-03-04,29,0,0,29
2020-03-05,41,0,0,41
2020-03-06,55,0,0,55
2020-03-07,79,0,0,79
2020-03-08,104,0,0,104
2020-03-09,131,2,0,129
2020-03-10,182,4,0,178
2020-03-11,246,4,0,242
2020-03-12,302,4,1,297
2020-03-13,504,6,1,497
2020-03-14,655,6,1,648
2020-03-15,860,6,1,853
2020-03-16,1018,6,3,1009
2020-03-17,1332,1,3,1328
2020-03-18,1646,9,4,1633
2020-03-19,2013,9,6,1998
2020-03-20,2388,9,6,2373
2020-03-21,2814,9,8,2797
2020-03-22,3582,9,16,3557
2020-03-23,4474,9,21,4444
2020-03-24,5283,9,28,5246
2020-03-25,5588,9,30,5549
2020-03-26,6909,112,49,6748
2020-03-27,7657,225,58,7374
2020-03-28,8271,225,68,7978
2020-03-29,8788,479,86,8223
2020-03-30,9618,636,108,8874
2020-03-31,10180,1095,128,8957
2020-04-01,10711,1436,146,9129
