date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,1,0,0,1
2020-02-25,23,0,0,23
2020-02-26,33,0,0,33
2020-02-27,33,0,0,33
2020-02-28,36,0,0,36
2020-02-29,41,0,0,41
2020-03-01,47,0,0,47
2020-03-02,49,0,0,49
2020-03-03,49,0,0,49
2020-03-04,52,0,0,52
2020-03-05,55,0,0,55
2020-03-06,60,4,0,56
2020-03-07,85,4,0,81
2020-03-08,85,4,0,81
2020-03-09,95,14,0,81
2020-03-10,110,22,0,88
2020-03-11,195,35,0,160
2020-03-12,195,35,0,160
2020-03-13,195,44,0,151
2020-03-14,210,44,0,166
2020-03-15,214,60,0,154
2020-03-16,214,77,1,136
2020-03-17,228,81,1,146
2020-03-18,256,88,1,167
2020-03-19,278,100,1,177
2020-03-20,285,100,1,184
2020-03-21,305,125,1,179
2020-03-22,334,149,2,183
2020-03-23,377,149,2,226
2020-03-24,392,177,3,212
2020-03-25,419,177,4,238
2020-03-26,458,204,4,250
2020-03-27,466,227,4,235
2020-03-28,476,265,4,207
2020-03-29,499,272,4,223
2020-03-30,515,279,4,232
2020-03-31,567,295,4,268
2020-04-01,569,337,4,228
2020-04-02,643,381,4,258
2020-04-03,672,382,4,286
