date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,1,0,0,1
2020-03-10,1,0,0,1
2020-03-11,11,0,0,11
2020-03-12,11,0,0,11
2020-03-13,37,0,0,37
2020-03-14,40,0,0,40
2020-03-15,50,0,0,50
2020-03-16,54,0,0,54
2020-03-17,56,0,0,56
2020-03-18,68,0,0,68
2020-03-19,75,0,0,75
2020-03-20,78,1,0,77
2020-03-21,83,2,0,81
2020-03-22,88,2,0,86
2020-03-23,91,2,0,89
2020-03-24,104,2,0,102
2020-03-25,109,2,0,107
2020-03-26,114,5,0,109
2020-03-27,115,11,0,104
2020-03-28,120,25,1,94
2020-03-29,126,34,1,91
2020-03-30,127,38,1,88
2020-03-31,129,45,1,83
2020-04-01,131,52,1,78
2020-04-02,133,56,1,76
2020-04-03,134,65,1,68
