date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,1,0,0,1
2020-01-28,1,0,0,1
2020-01-29,1,0,0,1
2020-01-30,1,0,0,1
2020-01-31,1,0,0,1
2020-02-01,1,0,0,1
2020-02-02,1,0,0,1
2020-02-03,1,0,0,1
2020-02-04,1,0,0,1
2020-02-05,1,0,0,1
2020-02-06,1,0,0,1
2020-02-07,1,0,0,1
2020-02-08,1,0,0,1
2020-02-09,1,0,0,1
2020-02-10,1,0,0,1
2020-02-11,1,0,0,1
2020-02-12,1,1,0,0
2020-02-13,1,1,0,0
2020-02-14,1,1,0,0
2020-02-15,1,1,0,0
2020-02-16,1,1,0,0
2020-02-17,1,1,0,0
2020-02-18,1,1,0,0
2020-02-19,1,1,0,0
2020-02-20,1,1,0,0
2020-02-21,1,1,0,0
2020-02-22,1,1,0,0
2020-02-23,1,1,0,0
2020-02-24,1,1,0,0
2020-02-25,1,1,0,0
2020-02-26,1,1,0,0
2020-02-27,1,1,0,0
2020-02-28,1,1,0,0
2020-02-29,1,1,0,0
2020-03-01,1,1,0,0
2020-03-02,1,1,0,0
2020-03-03,1,1,0,0
2020-03-04,1,1,0,0
2020-03-05,1,1,0,0
2020-03-06,1,1,0,0
2020-03-07,1,1,0,0
2020-03-08,2,1,0,1
2020-03-09,2,1,0,1
2020-03-10,2,1,0,1
2020-03-11,3,1,0,2
2020-03-12,3,1,0,2
2020-03-13,5,1,0,4
2020-03-14,7,1,0,6
2020-03-15,7,1,0,6
2020-03-16,7,1,0,6
2020-03-17,33,1,0,32
2020-03-18,35,1,0,34
2020-03-19,37,1,0,36
2020-03-20,51,1,0,50
2020-03-21,53,1,0,52
2020-03-22,84,1,0,83
2020-03-23,87,1,0,86
2020-03-24,91,4,0,87
2020-03-25,96,10,0,86
2020-03-26,96,10,0,86
2020-03-27,99,11,0,88
2020-03-28,99,13,0,86
2020-03-29,103,21,0,82
2020-03-30,107,21,0,86
2020-03-31,109,23,0,86
2020-04-01,109,25,0,84
2020-04-02,110,34,0,76
2020-04-03,114,35,0,79
