date,confirmed,recovered,deaths,active
2020-01-22,548,28,17,503
2020-01-23,643,30,18,595
2020-01-24,920,36,26,858
2020-01-25,1406,39,42,1325
2020-01-26,2075,49,56,1970
2020-01-27,2877,58,82,2737
2020-01-28,5509,101,131,5277
2020-01-29,6087,120,133,5834
2020-01-30,8141,135,171,7835
2020-01-31,9802,214,213,9375
2020-02-01,11891,275,259,11357
2020-02-02,16630,463,361,15806
2020-02-03,19716,614,425,18677
2020-02-04,23707,843,491,22373
2020-02-05,27440,1115,563,25762
2020-02-06,30587,1477,633,28477
2020-02-07,34110,1999,718,31393
2020-02-08,36814,2596,805,33413
2020-02-09,39829,3219,905,35705
2020-02-10,42354,3918,1012,37424
2020-02-11,44386,4636,1112,38638
2020-02-12,44759,5082,1117,38560
2020-02-13,59895,6217,1369,52309
2020-02-14,66358,7977,1521,56860
2020-02-15,68413,9298,1663,57452
2020-02-16,70513,10755,1766,57992
2020-02-17,72434,12462,1864,58108
2020-02-18,74211,14206,2003,58002
2020-02-19,74619,15962,2116,56541
2020-02-20,75077,18014,2238,54825
2020-02-21,75550,18704,2238,54608
2020-02-22,77001,22699,2443,51859
2020-02-23,77022,23187,2445,51390
2020-02-24,77241,25015,2595,49631
2020-02-25,77754,27676,2665,47413
2020-02-26,78166,30084,2717,45365
2020-02-27,78600,32930,2746,42924
2020-02-28,78928,36329,2790,39809
2020-02-29,79356,39320,2837,37199
2020-03-01,79932,42162,2872,34898
2020-03-02,80136,44854,2914,32368
2020-03-03,80261,47450,2947,29864
2020-03-04,80386,50001,2983,27402
2020-03-05,80537,52292,3015,25230
2020-03-06,80690,53944,3044,23702
2020-03-07,80770,55539,3072,22159
2020-03-08,80823,57388,3100,20335
2020-03-09,80860,58804,3123,18933
2020-03-10,80887,60181,3139,17567
2020-03-11,80921,61644,3161,16116
2020-03-12,80932,62901,3172,14859
2020-03-13,80945,64196,3180,13569
2020-03-14,80977,65660,3193,12124
2020-03-15,81003,67017,3203,10783
2020-03-16,81033,67910,3217,9906
2020-03-17,81058,68798,3230,9030
2020-03-18,81102,69755,3241,8106
2020-03-19,81156,70535,3249,7372
2020-03-20,81250,71266,3253,6731
2020-03-21,81305,71857,3259,6189
2020-03-22,81435,72362,3274,5799
2020-03-23,81498,72814,3274,5410
2020-03-24,81591,73280,3281,5030
2020-03-25,81661,73773,3285,4603
2020-03-26,81782,74181,3291,4310
2020-03-27,81897,74720,3296,3881
2020-03-28,81999,75100,3299,3600
2020-03-29,82122,75582,3304,3236
2020-03-30,82198,75923,3308,2967
2020-03-31,82279,76206,3309,2764
2020-04-01,82361,76405,3316,2640
2020-04-02,82432,76565,3322,2545
2020-04-03,82511,76760,3326,2425
2020-04-04,82543,76946,3330,2267
2020-04-05,82602,77207,3333,2062
2020-04-06,82665,77310,3335,2020
2020-04-07,82718,77410,3335,1973
2020-04-08,82809,77567,3337,1905
2020-04-09,82883,77679,3339,1865
2020-04-10,82941,77791,3340,1810
2020-04-11,83014,77877,3343,1794
2020-04-12,83134,77956,3343,1835
2020-04-13,83213,78039,3345,1829
2020-04-14,83306,78200,3345,1761
2020-04-15,83356,78311,3346,1699
2020-04-16,83403,78401,3346,1656
2020-04-17,83760,77552,4636,1572
2020-04-18,83787,77614,4636,1537
2020-04-19,83805,77690,4636,1479
2020-04-20,83817,77745,4636,1436
2020-04-21,83853,77799,4636,1418
2020-04-22,83868,77861,4636,1371
2020-04-23,83884,77983,4636,1265
2020-04-24,83899,78109,4636,1154
2020-04-25,83909,78175,4636,1098
2020-04-26,83912,78277,4637,998
2020-04-27,83918,78374,4637,907
2020-04-28,83940,78422,4637,881
2020-04-29,83944,78474,4637,833
2020-04-30,83956,78523,4637,796
2020-05-01,83959,78573,4637,749
2020-05-02,83959,78586,4637,736
2020-05-03,83964,78684,4637,643
2020-05-04,83966,78792,4637,537
2020-05-05,83968,78870,4637,461
2020-05-06,83970,78929,4637,404
2020-05-07,83975,78977,4637,361
2020-05-08,83976,78993,4637,346
2020-05-09,83990,79127,4637,226
2020-05-10,84010,79167,4637,206
2020-05-11,84011,79198,4637,176
2020-05-12,84018,79222,4637,159
2020-05-13,84024,79246,4637,141
2020-05-14,84029,79261,4637,131
2020-05-15,84038,79281,4637,120
2020-05-16,84044,79293,4638,113
2020-05-17,84054,79306,4638,110
2020-05-18,84063,79310,4638,115
2020-05-19,84063,79310,4638,115
2020-05-20,84063,79310,4638,115
2020-05-21,84063,79310,4638,115
2020-05-22,84081,79332,4638,111
2020-05-23,84084,79335,4638,111
2020-05-24,84095,79343,4638,114
2020-05-25,84102,79352,4638,112
2020-05-26,84103,79358,4638,107
2020-05-27,84106,79367,4638,101
2020-05-28,84106,79371,4638,97
2020-05-29,84123,79382,4638,103
2020-05-30,84128,79386,4638,104
2020-05-31,84146,79389,4638,119
2020-06-01,84154,79398,4638,118
2020-06-02,84161,79400,4638,123
2020-06-03,84160,79404,4638,118
2020-06-04,84171,79415,4638,118
2020-06-05,84177,79420,4638,119
2020-06-06,84186,79424,4638,124
2020-06-07,84191,79434,4638,119
2020-06-08,84195,79444,4638,113
2020-06-09,84198,79451,4638,109
2020-06-10,84209,79456,4638,115
2020-06-11,84216,79464,4638,114
2020-06-12,84228,79472,4638,118
2020-06-13,84286,79475,4638,173
2020-06-14,84335,79482,4638,215
2020-06-15,84378,79489,4638,251
2020-06-16,84422,79493,4638,291
2020-06-17,84458,79510,4638,310
2020-06-18,84494,79515,4638,341
2020-06-19,84494,79515,4638,341
2020-06-20,84553,79534,4639,380
2020-06-21,84572,79535,4639,398
2020-06-22,84624,79547,4639,438
2020-06-23,84653,79555,4640,458
2020-06-24,84673,79562,4640,471
2020-06-25,84701,79572,4641,488
2020-06-26,84725,79580,4641,504
2020-06-27,84743,79591,4641,511
2020-06-28,84757,79609,4641,507
2020-06-29,84780,79619,4641,520
2020-06-30,84785,79632,4641,512
2020-07-01,84816,79650,4641,525
2020-07-02,84830,79665,4641,524
2020-07-03,84838,79680,4641,517
2020-07-04,84857,79706,4641,510
2020-07-05,84871,79718,4641,512
2020-07-06,84889,79725,4641,523
2020-07-07,84917,79754,4641,522
2020-07-08,84950,79802,4641,507
2020-07-09,84992,79802,4641,549
2020-07-10,84992,79802,4641,549
2020-07-11,85071,79876,4641,554
2020-07-12,85117,79907,4641,569
2020-07-13,85117,79907,4641,569
2020-07-14,85226,79967,4642,617
2020-07-15,85246,80005,4644,597
2020-07-16,85327,80038,4644,645
2020-07-17,85402,80064,4645,693
2020-07-18,85418,80092,4646,680
2020-07-19,85503,80137,4646,720
2020-07-20,85622,80162,4646,814
2020-07-21,85708,80204,4648,856
2020-07-22,85906,80244,4648,1014
2020-07-23,86045,80297,4649,1099
2020-07-24,86202,80341,4650,1211
2020-07-25,86381,80409,4652,1320
2020-07-26,86570,80459,4652,1459
2020-07-27,86783,80466,4656,1661
2020-07-28,86990,80517,4657,1816
2020-07-29,87213,80594,4658,1961
2020-07-30,87489,80680,4659,2150
2020-07-31,87655,80787,4661,2207
2020-08-01,87827,80907,4667,2253
2020-08-02,87985,81018,4669,2298
2020-08-03,88099,81113,4672,2314
2020-08-04,88206,81234,4676,2296
2020-08-05,88328,81417,4677,2234
2020-08-06,88460,81592,4680,2188
2020-08-07,88580,81788,4681,2111
2020-08-08,88672,81969,4681,2022
2020-08-09,88793,82125,4686,1982
2020-08-10,88906,82247,4689,1970
2020-08-11,88958,82440,4693,1825
2020-08-12,89045,82633,4697,1715
2020-08-13,89144,82804,4700,1640
2020-08-14,89214,82956,4701,1557
2020-08-15,89279,83108,4703,1468
2020-08-16,89375,83200,4703,1472
2020-08-17,89441,83283,4703,1455
2020-08-18,89494,83408,4705,1381
2020-08-19,89527,83566,4706,1255
2020-08-20,89567,83663,4709,1195
2020-08-21,89616,83793,4709,1114
2020-08-22,89654,83924,4711,1019
2020-08-23,89695,83988,4711,996
2020-08-24,89718,84058,4711,949
2020-08-25,89752,84168,4712,872
2020-08-26,89784,84251,4713,820
2020-08-27,89814,84335,4715,764
2020-08-28,89836,84419,4718,699
2020-08-29,89863,84484,4721,658
2020-08-30,89895,84546,4722,627
2020-08-31,89914,84594,4723,597
2020-09-01,89933,84652,4724,557
2020-09-02,89953,84695,4727,531
2020-09-03,89986,84737,4728,521
2020-09-04,90008,84782,4728,498
2020-09-05,90025,84837,4728,460
2020-09-06,90058,84873,4730,455
2020-09-07,90078,84900,4732,446
2020-09-08,90087,84932,4733,422
2020-09-09,90100,84957,4733,410
2020-09-10,90127,85005,4733,389
2020-09-11,90145,85025,4733,387
2020-09-12,90168,85054,4734,380
2020-09-13,90197,85086,4734,377
2020-09-14,90219,85101,4735,383
2020-09-15,90235,85129,4736,370
2020-09-16,90253,85155,4736,362
2020-09-17,90294,85181,4736,377
2020-09-18,90311,85204,4737,370
2020-09-19,90334,85226,4737,371
2020-09-20,90369,85239,4737,393
2020-09-21,90381,85257,4737,387
2020-09-22,90399,85275,4737,387
2020-09-23,90409,85304,4738,367
2020-09-24,90424,85323,4738,363
2020-09-25,90441,85343,4739,359
2020-09-26,90456,85360,4739,357
2020-09-27,90483,85381,4739,363
2020-09-28,90505,85398,4739,368
2020-09-29,90528,85423,4739,366
2020-09-30,90545,85460,4739,346
2020-10-01,90567,85479,4739,349
2020-10-02,90584,85494,4739,351
2020-10-03,90604,85511,4739,354
2020-10-04,90629,85530,4739,360
2020-10-05,90652,85540,4739,373
2020-10-06,90667,85566,4739,362
2020-10-07,90687,85588,4739,360
2020-10-08,90728,85612,4739,377
2020-10-09,90751,85641,4739,371
2020-10-10,90778,85658,4739,381
2020-10-11,90812,85669,4739,404
2020-10-12,90830,85690,4739,401
2020-10-13,90858,85707,4739,412
2020-10-14,90869,85720,4739,410
2020-10-15,90905,85743,4739,423
2020-10-16,90925,85762,4739,424
2020-10-17,90955,85791,4739,425
2020-10-18,90972,85819,4739,414
2020-10-19,91006,85840,4739,427
2020-10-20,91022,85873,4739,410
2020-10-21,91044,85899,4739,406
2020-10-22,91073,85929,4739,405
2020-10-23,91108,85950,4739,419
2020-10-24,91128,85974,4739,415
2020-10-25,91151,86002,4739,410
2020-10-26,91175,86018,4739,418
2020-10-27,91222,86031,4739,452
2020-10-28,91271,86049,4739,483
2020-10-29,91299,86082,4739,478
2020-10-30,91339,86111,4739,489
2020-10-31,91366,86135,4739,492
2020-11-01,91397,86162,4739,496
2020-11-02,91452,86189,4739,524
2020-11-03,91478,86212,4739,527
2020-11-04,91509,86241,4740,528
2020-11-05,91552,86264,4741,547
2020-11-06,91591,86301,4741,549
2020-11-07,91622,86344,4741,537
2020-11-08,91665,86369,4741,555
2020-11-09,91693,86393,4741,559
2020-11-10,91719,86421,4742,556
2020-11-11,91752,86451,4742,559
2020-11-12,91783,86488,4742,553
2020-11-13,91807,86518,4742,547
2020-11-14,91828,86543,4742,543
2020-11-15,91850,86572,4742,536
2020-11-16,91872,86616,4742,514
2020-11-17,91885,86667,4742,476
2020-11-18,91906,86700,4742,464
2020-11-19,91935,86727,4742,466
2020-11-20,91977,86751,4742,484
2020-11-21,92037,86769,4742,526
2020-11-22,92116,86792,4742,582
2020-11-23,92211,86816,4742,653
2020-11-24,92296,86847,4742,707
2020-11-25,92402,86888,4742,772
2020-11-26,92488,86900,4742,846
2020-11-27,92586,86937,4742,907
2020-11-28,92681,86968,4743,970
2020-11-29,92814,86998,4743,1073
2020-11-30,92902,87017,4743,1142
2020-12-01,92993,87051,4743,1199
2020-12-02,93113,87101,4744,1268
2020-12-03,93221,87147,4745,1329
2020-12-04,93348,87204,4746,1398
2020-12-05,93467,87259,4746,1462
2020-12-06,93577,87331,4746,1500
2020-12-07,93670,87404,4746,1520
2020-12-08,93782,87483,4746,1553
2020-12-09,93898,87582,4748,1568
2020-12-10,94025,87707,4748,1570
2020-12-11,94124,87815,4748,1561
2020-12-12,94217,87944,4749,1524
2020-12-13,94328,88041,4751,1536
2020-12-14,94427,88122,4754,1551
2020-12-15,94537,88211,4757,1569
2020-12-16,94626,88326,4757,1543
2020-12-17,94734,88429,4759,1546
2020-12-18,94821,88538,4763,1520
2020-12-19,94953,88666,4763,1524
2020-12-20,95050,88781,4764,1505
2020-12-21,95150,88861,4765,1524
2020-12-22,95228,88963,4766,1499
2020-12-23,95298,89104,4767,1427
2020-12-24,95383,89205,4769,1409
2020-12-25,95460,89330,4770,1360
2020-12-26,95541,89423,4770,1348
2020-12-27,95632,89518,4771,1343
2020-12-28,95720,89586,4775,1359
2020-12-29,95797,89697,4777,1323
2020-12-30,95876,89813,4781,1282
2020-12-31,95963,89923,4782,1258
2021-01-01,96023,90031,4782,1210
2021-01-02,96086,90099,4784,1203
2021-01-03,96160,90159,4784,1217
2021-01-04,96246,90213,4787,1246
2021-01-05,96310,90306,4787,1217
2021-01-06,96398,90400,4788,1210
2021-01-07,96484,90478,4788,1218
2021-01-08,96562,90543,4789,1230
2021-01-09,96690,90630,4791,1269
2021-01-10,96824,90697,4792,1335
2021-01-11,96920,90772,4793,1355
2021-01-12,97095,90857,4794,1444
2021-01-13,97275,90953,4796,1526
2021-01-14,97448,91026,4796,1626
2021-01-15,97616,91100,4796,1720
2021-01-16,97775,91158,4797,1820
2021-01-17,97939,91205,4797,1937
2021-01-18,98164,91263,4798,2103
2021-01-19,98323,91322,4800,2201
2021-01-20,98544,91382,4801,2361
2021-01-21,98786,91382,4803,2601
2021-01-22,98886,91526,4803,2557
2021-01-23,99047,91609,4803,2635
2021-01-24,99247,91709,4804,2734
2021-01-25,99402,91775,4807,2820
2021-01-26,99541,91920,4809,2812
2021-01-27,99655,92076,4811,2768
2021-01-28,99746,92223,4813,2710
2021-01-29,99848,92321,4814,2713
2021-01-30,99968,92622,4815,2531
2021-01-31,100063,92779,4817,2467
2021-02-01,100127,92891,4818,2418
2021-02-02,100177,93060,4820,2297
2021-02-03,100226,93280,4821,2125
2021-02-04,100268,93459,4822,1987
2021-02-05,100318,93606,4822,1890
2021-02-06,100348,93752,4822,1774
2021-02-07,100389,93883,4822,1684
2021-02-08,100435,93989,4822,1624
2021-02-09,100475,94147,4824,1504
2021-02-10,100494,94288,4825,1381
2021-02-11,100527,94413,4827,1287
2021-02-12,100559,94536,4828,1195
2021-02-13,100578,94641,4829,1108
2021-02-14,100599,94728,4829,1042
2021-02-15,100624,94796,4829,999
2021-02-16,100639,94875,4831,933
2021-02-17,100666,94960,4833,873
2021-02-18,100684,95034,4833,817
2021-02-19,100705,95110,4833,762
2021-02-20,100727,95181,4833,713
2021-02-21,100758,95241,4833,684
2021-02-22,100784,95293,4833,658
2021-02-23,100808,95332,4833,643
2021-02-24,100832,95462,4834,536
2021-02-25,100851,95518,4834,499
2021-02-26,100885,95561,4834,490
2021-02-27,100924,95605,4834,485
2021-02-28,100965,95649,4835,481
2021-03-01,100990,95681,4836,473
2021-03-02,101013,95721,4836,456
2021-03-03,101037,95755,4836,446
2021-03-04,101055,95778,4837,440
2021-03-05,101076,95804,4837,435
2021-03-06,101097,95835,4838,424
2021-03-07,101132,95851,4838,443
2021-03-08,101149,95869,4838,442
2021-03-09,101175,95903,4838,434
2021-03-10,101194,95923,4839,432
2021-03-11,101225,95951,4839,435
2021-03-12,101292,95972,4839,481
2021-03-13,101349,96011,4839,499
2021-03-14,101378,96040,4839,499
2021-03-15,101421,96060,4839,522
2021-03-16,101443,96087,4839,517
2021-03-17,101460,96123,4839,498
2021-03-18,101481,96154,4839,488
2021-03-19,101498,96173,4839,486
2021-03-20,101518,96208,4839,471
2021-03-21,101533,96231,4839,463
2021-03-22,101560,96269,4839,452
2021-03-23,101582,96314,4840,428
2021-03-24,101603,96346,4840,417
2021-03-25,101623,96390,4840,393
2021-03-26,101646,96433,4841,372
2021-03-27,101663,96452,4841,370
2021-03-28,101676,96478,4841,357
2021-03-29,101692,96504,4841,347
2021-03-30,101710,96518,4841,351
2021-03-31,101732,96537,4841,354
2021-04-01,101754,96558,4841,355
2021-04-02,101799,96583,4841,375
2021-04-03,101821,96605,4841,375
2021-04-04,101861,96619,4841,401
2021-04-05,101901,96642,4841,418
2021-04-06,101920,96660,4841,419
2021-04-07,101953,96675,4841,437
2021-04-08,101984,96693,4841,450
2021-04-09,102012,96715,4843,454
2021-04-10,102027,96729,4843,455
2021-04-11,102056,96749,4843,464
2021-04-12,102078,96768,4843,467
2021-04-13,102103,96788,4844,471
2021-04-14,102118,96809,4845,464
2021-04-15,102135,96827,4845,463
2021-04-16,102167,96839,4845,483
2021-04-17,102201,96855,4845,501
2021-04-18,102242,96877,4845,520
2021-04-19,102264,96895,4845,524
2021-04-20,102293,96935,4845,513
2021-04-21,102300,96958,4845,497
2021-04-22,102333,96989,4845,499
2021-04-23,102351,97008,4845,498
2021-04-24,102367,97033,4845,489
2021-04-25,102384,97055,4845,484
2021-04-26,102399,97070,4845,484
2021-04-27,102419,97097,4845,477
2021-04-28,102446,97123,4845,478
2021-04-29,102474,97144,4845,485
2021-04-30,102494,97175,4845,474
2021-05-01,102517,97206,4846,465
2021-05-02,102530,97232,4846,452
2021-05-03,102549,97249,4846,454
2021-05-04,102560,97266,4846,448
2021-05-05,102571,97287,4846,438
2021-05-06,102586,97312,4846,428
2021-05-07,102596,97332,4846,418
2021-05-08,102613,97357,4846,410
2021-05-09,102625,97377,4846,402
2021-05-10,102643,97390,4846,407
2021-05-11,102660,97413,4846,401
2021-05-12,102671,97435,4846,390
2021-05-13,102681,97454,4846,381
2021-05-14,102696,97479,4846,371
2021-05-15,102717,97491,4846,380
2021-05-16,102746,97519,4846,381
2021-05-17,102769,97543,4846,380
2021-05-18,102784,97560,4846,378
2021-05-19,102797,97578,4846,373
2021-05-20,102822,97596,4846,380
2021-05-21,102833,97600,4846,387
2021-05-22,102853,97621,4846,386
2021-05-23,102873,97632,4846,395
2021-05-24,102890,97656,4846,388
2021-05-25,102905,97672,4846,387
2021-05-26,102925,97685,4846,394
2021-05-27,102932,97707,4846,379
2021-05-28,102948,97726,4846,376
2021-05-29,102960,97737,4846,377
2021-05-30,102987,97756,4846,385
2021-05-31,103014,97770,4846,398
2021-06-01,103045,97788,4846,411
2021-06-02,103069,97795,4846,428
2021-06-03,103094,97813,4846,435
2021-06-04,103119,97825,4846,448
2021-06-05,103150,97854,4846,450
2021-06-06,103176,97863,4846,467
2021-06-07,103216,97890,4846,480
2021-06-08,103235,97902,4846,487
2021-06-09,103261,97923,4846,492
2021-06-10,103285,97938,4846,501
2021-06-11,103320,97956,4846,518
2021-06-12,103357,97979,4846,532
2021-06-13,103380,97993,4846,541
2021-06-14,103401,98003,4846,552
2021-06-15,103424,98020,4846,558
2021-06-16,103444,98036,4846,562
2021-06-17,103467,98051,4846,570
2021-06-18,103501,98084,4846,571
2021-06-19,103525,98104,4846,575
2021-06-20,103543,98114,4846,583
2021-06-21,103571,98148,4846,577
2021-06-22,103602,98172,4846,584
2021-06-23,103620,98211,4846,563
2021-06-24,103651,98243,4846,562
2021-06-25,103680,98280,4847,553
2021-06-26,103696,98309,4846,541
2021-06-27,103724,98331,4846,547
2021-06-28,103745,98353,4846,546
2021-06-29,103755,98368,4847,540
2021-06-30,103769,98399,4847,523
2021-07-01,103791,98420,4847,524
2021-07-02,103825,98450,4847,528
2021-07-03,103841,98468,4847,526
2021-07-04,103866,98492,4847,527
2021-07-05,103890,98527,4848,515
2021-07-06,103948,98549,4848,551
2021-07-07,103966,98579,4848,539
2021-07-08,103992,98603,4848,541
2021-07-09,104019,98619,4848,552
2021-07-10,104020,98590,4848,582
2021-07-11,104072,98660,4848,564
2021-07-12,104101,98682,4848,571
2021-07-13,104126,98700,4848,578
2021-07-14,104157,98727,4848,582
2021-07-15,104193,98739,4848,606
