date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,1,0,0,1
2020-01-30,1,0,0,1
2020-01-31,1,0,0,1
2020-02-01,1,0,0,1
2020-02-02,1,0,0,1
2020-02-03,1,0,0,1
2020-02-04,1,0,0,1
2020-02-05,1,0,0,1
2020-02-06,1,0,0,1
2020-02-07,1,0,0,1
2020-02-08,1,0,0,1
2020-02-09,1,0,0,1
2020-02-10,1,0,0,1
2020-02-11,1,0,0,1
2020-02-12,1,1,0,0
2020-02-13,1,1,0,0
2020-02-14,1,1,0,0
2020-02-15,1,1,0,0
2020-02-16,1,1,0,0
2020-02-17,1,1,0,0
2020-02-18,1,1,0,0
2020-02-19,1,1,0,0
2020-02-20,1,1,0,0
2020-02-21,1,1,0,0
2020-02-22,1,1,0,0
2020-02-23,1,1,0,0
2020-02-24,1,1,0,0
2020-02-25,1,1,0,0
2020-02-26,2,1,0,1
2020-02-27,2,1,0,1
2020-02-28,2,1,0,1
2020-02-29,3,1,0,2
2020-03-01,6,1,0,5
2020-03-02,6,1,0,5
2020-03-03,6,1,0,5
2020-03-04,6,1,0,5
2020-03-05,12,1,0,11
2020-03-06,15,1,0,14
2020-03-07,15,1,0,14
2020-03-08,23,1,0,22
2020-03-09,30,1,0,29
2020-03-10,40,1,0,39
2020-03-11,59,1,0,58
2020-03-12,59,1,0,58
2020-03-13,155,1,0,154
2020-03-14,225,1,0,224
2020-03-15,244,10,0,234
2020-03-16,277,10,0,267
2020-03-17,321,10,0,311
2020-03-18,336,10,0,326
2020-03-19,400,10,0,390
2020-03-20,450,10,0,440
2020-03-21,523,10,1,512
2020-03-22,626,10,1,615
2020-03-23,700,10,1,689
2020-03-24,792,10,1,781
2020-03-25,880,10,3,867
2020-03-26,958,10,5,943
2020-03-27,1041,10,7,1024
2020-03-28,1167,10,9,1148
2020-03-29,1240,10,11,1219
2020-03-30,1352,10,13,1329
2020-03-31,1418,10,17,1391
2020-04-01,1446,10,17,1419
2020-04-02,1518,300,19,1199
