date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,1,0,0,1
2020-01-28,4,0,0,4
2020-01-29,4,0,0,4
2020-01-30,4,0,0,4
2020-01-31,5,0,0,5
2020-02-01,8,0,0,8
2020-02-02,10,0,0,10
2020-02-03,12,0,0,12
2020-02-04,12,0,0,12
2020-02-05,12,0,0,12
2020-02-06,12,0,0,12
2020-02-07,13,0,0,13
2020-02-08,13,0,0,13
2020-02-09,14,0,0,14
2020-02-10,14,0,0,14
2020-02-11,16,0,0,16
2020-02-12,16,0,0,16
2020-02-13,16,1,0,15
2020-02-14,16,1,0,15
2020-02-15,16,1,0,15
2020-02-16,16,1,0,15
2020-02-17,16,1,0,15
2020-02-18,16,12,0,4
2020-02-19,16,12,0,4
2020-02-20,16,12,0,4
2020-02-21,16,14,0,2
2020-02-22,16,14,0,2
2020-02-23,16,14,0,2
2020-02-24,16,14,0,2
2020-02-25,17,14,0,3
2020-02-26,27,15,0,12
2020-02-27,46,16,0,30
2020-02-28,48,16,0,32
2020-02-29,79,16,0,63
2020-03-01,130,16,0,114
2020-03-02,159,16,0,143
2020-03-03,196,16,0,180
2020-03-04,262,16,0,246
2020-03-05,482,16,0,466
2020-03-06,670,17,0,653
2020-03-07,799,18,0,781
2020-03-08,1040,18,0,1022
2020-03-09,1176,18,2,1156
2020-03-10,1457,18,2,1437
2020-03-11,1908,25,3,1880
2020-03-12,2078,25,3,2050
2020-03-13,3675,46,7,3622
2020-03-14,4585,46,9,4530
2020-03-15,5795,46,11,5738
2020-03-16,7272,67,17,7188
2020-03-17,9257,67,24,9166
2020-03-18,12327,105,28,12194
2020-03-19,15320,113,44,15163
2020-03-20,19848,180,67,19601
2020-03-21,22213,233,84,21896
2020-03-22,24873,266,94,24513
2020-03-23,29056,266,123,28667
2020-03-24,32986,3243,157,29586
2020-03-25,37323,3547,206,33570
2020-03-26,43938,5673,267,37998
2020-03-27,50871,6658,342,43871
2020-03-28,57695,8481,433,48781
2020-03-29,62095,9211,533,52351
2020-03-30,66885,13500,645,52740
