date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,1,0,0,1
2020-02-22,1,0,0,1
2020-02-23,1,0,0,1
2020-02-24,1,0,0,1
2020-02-25,1,0,0,1
2020-02-26,2,0,0,2
2020-02-27,2,0,0,2
2020-02-28,2,0,0,2
2020-02-29,4,0,0,4
2020-03-01,10,0,0,10
2020-03-02,13,0,0,13
2020-03-03,13,0,0,13
2020-03-04,13,1,0,12
2020-03-05,16,1,0,15
2020-03-06,22,1,0,21
2020-03-07,22,1,0,21
2020-03-08,32,1,0,31
2020-03-09,32,1,0,31
2020-03-10,41,1,1,39
2020-03-11,61,1,3,57
2020-03-12,61,1,3,57
2020-03-13,77,1,3,73
2020-03-14,93,1,3,89
2020-03-15,110,1,3,106
2020-03-16,110,1,3,106
2020-03-17,120,3,3,114
2020-03-18,133,3,3,127
2020-03-19,157,4,4,149
2020-03-20,163,4,4,155
2020-03-21,187,4,4,179
2020-03-22,248,8,4,236
2020-03-23,267,8,4,255
2020-03-24,318,8,4,306
2020-03-25,333,20,6,307
2020-03-26,368,23,6,339
2020-03-27,391,27,8,356
2020-03-28,412,30,8,374
2020-03-29,438,30,10,398
2020-03-30,446,35,11,400
2020-03-31,470,37,12,421
2020-04-01,479,43,14,422
2020-04-02,494,46,16,432
2020-04-03,508,50,17,441
