date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,1,0,0,1
2020-03-01,1,0,0,1
2020-03-02,1,0,0,1
2020-03-03,1,0,0,1
2020-03-04,1,0,0,1
2020-03-05,1,0,0,1
2020-03-06,1,0,0,1
2020-03-07,1,0,0,1
2020-03-08,1,0,0,1
2020-03-09,1,0,0,1
2020-03-10,1,0,0,1
2020-03-11,3,0,0,3
2020-03-12,3,0,0,3
2020-03-13,4,0,0,4
2020-03-14,6,1,0,5
2020-03-15,9,1,0,8
2020-03-16,12,1,0,11
2020-03-17,19,1,0,18
2020-03-18,27,1,0,26
2020-03-19,36,0,0,36
2020-03-20,47,0,0,47
2020-03-21,69,0,0,69
2020-03-22,111,0,0,111
2020-03-23,128,0,0,128
2020-03-24,166,0,1,165
2020-03-25,208,0,2,206
2020-03-26,263,0,3,260
2020-03-27,292,0,4,288
2020-03-28,339,0,4,335
2020-03-29,378,0,4,374
2020-03-30,424,0,4,420
2020-03-31,468,0,4,464
2020-04-01,512,0,6,506
2020-04-02,579,0,6,573
2020-04-03,631,0,6,625
