date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,4,0,0,4
2020-01-26,4,0,0,4
2020-01-27,4,0,0,4
2020-01-28,4,0,0,4
2020-01-29,7,0,0,7
2020-01-30,8,0,0,8
2020-01-31,8,0,0,8
2020-02-01,8,0,0,8
2020-02-02,8,0,0,8
2020-02-03,8,0,0,8
2020-02-04,10,0,0,10
2020-02-05,12,1,0,11
2020-02-06,14,1,0,13
2020-02-07,15,1,0,14
2020-02-08,16,2,0,14
2020-02-09,17,3,0,14
2020-02-10,18,3,0,15
2020-02-11,18,3,0,15
2020-02-12,18,3,0,15
2020-02-13,18,3,0,15
2020-02-14,19,7,0,12
2020-02-15,22,8,0,14
2020-02-16,22,8,0,14
2020-02-17,22,11,0,11
2020-02-18,22,13,0,9
2020-02-19,22,17,0,5
2020-02-20,22,17,0,5
2020-02-21,22,17,0,5
2020-02-22,22,18,0,4
2020-02-23,22,18,0,4
2020-02-24,22,20,0,2
2020-02-25,22,20,0,2
2020-02-26,22,20,0,2
2020-02-27,23,22,0,1
2020-02-28,25,22,0,3
2020-02-29,29,22,0,7
2020-03-01,29,22,0,7
2020-03-02,29,22,0,7
2020-03-03,36,22,0,14
2020-03-04,50,23,0,27
2020-03-05,55,23,0,32
2020-03-06,83,23,0,60
2020-03-07,93,24,0,69
2020-03-08,99,25,0,74
2020-03-09,117,26,0,91
2020-03-10,129,26,0,103
2020-03-11,149,27,0,122
2020-03-12,158,33,0,125
2020-03-13,197,33,0,164
2020-03-14,238,37,0,201
2020-03-15,428,42,0,386
2020-03-16,553,42,0,511
2020-03-17,673,49,2,622
2020-03-18,790,60,2,728
2020-03-19,900,75,2,823
2020-03-20,1030,87,3,940
2020-03-21,1183,114,7,1062
2020-03-22,1306,139,11,1156
2020-03-23,1518,159,16,1343
2020-03-24,1624,183,18,1423
2020-03-25,1796,199,21,1576
2020-03-26,2031,215,26,1790
2020-03-27,2161,259,28,1874
2020-03-28,2320,320,34,1966
2020-03-29,2470,388,39,2043
2020-03-30,2626,478,43,2105
2020-03-31,2766,536,48,2182
2020-04-01,2908,644,50,2214
