date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,3,0,0,3
2020-03-08,3,0,0,3
2020-03-09,3,0,0,3
2020-03-10,5,0,0,5
2020-03-11,6,0,0,6
2020-03-12,6,0,0,6
2020-03-13,12,1,0,11
2020-03-14,18,1,0,17
2020-03-15,21,1,0,20
2020-03-16,30,2,0,28
2020-03-17,38,2,0,36
2020-03-18,38,2,0,36
2020-03-19,53,2,0,51
2020-03-20,64,2,0,62
2020-03-21,73,2,0,71
2020-03-22,90,2,0,88
2020-03-23,107,2,0,105
2020-03-24,110,2,0,108
2020-03-25,129,2,0,127
2020-03-26,134,2,0,132
2020-03-27,139,2,0,137
2020-03-28,149,2,0,147
2020-03-29,151,2,0,149
2020-03-30,156,2,0,154
2020-03-31,169,2,0,167
2020-04-01,188,2,0,186
2020-04-02,196,2,0,194
2020-04-03,202,2,0,200
