date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,1,0,0,1
2020-02-28,1,0,0,1
2020-02-29,6,0,0,6
2020-03-01,10,0,0,10
2020-03-02,18,0,0,18
2020-03-03,24,0,0,24
2020-03-04,38,0,0,38
2020-03-05,82,0,0,82
2020-03-06,128,0,1,127
2020-03-07,188,0,1,187
2020-03-08,265,0,3,262
2020-03-09,321,0,3,318
2020-03-10,382,0,4,378
2020-03-11,503,0,5,498
2020-03-12,503,0,5,498
2020-03-13,806,0,10,796
2020-03-14,962,0,12,950
2020-03-15,1138,0,20,1118
2020-03-16,1416,0,24,1392
2020-03-17,1711,0,43,1668
2020-03-18,2058,0,58,2000
2020-03-19,2467,0,77,2390
2020-03-20,3003,0,107,2896
2020-03-21,3640,0,137,3503
2020-03-22,4217,0,180,4037
2020-03-23,4764,0,214,4550
2020-03-24,5580,1,277,5302
2020-03-25,6438,1,357,6080
2020-03-26,7468,3,435,7030
2020-03-27,8647,3,547,8097
2020-03-28,9819,3,640,9176
2020-03-29,10930,3,772,10155
2020-03-30,11817,3,865,10949
2020-03-31,12667,3,1040,11624
2020-04-01,13696,10,1175,12511
