date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,1,0,0,1
2020-02-27,1,0,0,1
2020-02-28,6,0,0,6
2020-02-29,15,0,0,15
2020-03-01,19,0,0,19
2020-03-02,25,0,0,25
2020-03-03,32,0,0,32
2020-03-04,56,0,0,56
2020-03-05,87,0,0,87
2020-03-06,108,0,0,108
2020-03-07,147,0,0,147
2020-03-08,176,0,0,176
2020-03-09,205,1,0,204
2020-03-10,400,1,0,399
2020-03-11,598,1,0,597
2020-03-12,702,1,0,701
2020-03-13,996,1,0,995
2020-03-14,1090,1,3,1086
2020-03-15,1221,1,3,1217
2020-03-16,1333,1,3,1329
2020-03-17,1463,1,3,1459
2020-03-18,1550,1,6,1543
2020-03-19,1746,1,7,1738
2020-03-20,1914,1,7,1906
2020-03-21,2118,1,7,2110
2020-03-22,2385,1,7,2377
2020-03-23,2621,1,10,2610
2020-03-24,2863,6,12,2845
2020-03-25,3084,6,14,3064
2020-03-26,3369,6,14,3349
2020-03-27,3755,6,19,3730
2020-03-28,4015,7,23,3985
2020-03-29,4284,7,25,4252
2020-03-30,4445,12,32,4401
2020-03-31,4641,13,39,4589
2020-04-01,4863,13,44,4806
