date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,0,0,0,0
2020-03-08,0,0,0,0
2020-03-09,0,0,0,0
2020-03-10,1,0,0,1
2020-03-11,8,0,1,7
2020-03-12,11,0,1,10
2020-03-13,27,0,1,26
2020-03-14,36,0,1,35
2020-03-15,43,0,1,42
2020-03-16,55,0,1,54
2020-03-17,69,0,1,68
2020-03-18,86,0,1,85
2020-03-19,109,0,1,108
2020-03-20,137,0,1,136
2020-03-21,200,0,1,199
2020-03-22,313,0,3,310
2020-03-23,345,0,6,339
2020-03-24,345,1,6,338
2020-03-25,443,1,8,434
2020-03-26,558,2,8,548
2020-03-27,674,2,9,663
2020-03-28,786,2,14,770
2020-03-29,901,4,17,880
2020-03-30,989,4,24,961
2020-03-31,1181,9,30,1142
2020-04-01,1181,9,30,1142
2020-04-02,1317,9,32,1276
2020-04-03,1475,10,37,1428
