date,confirmed,recovered,deaths,active
2020-01-22,4,2,0,2
2020-01-23,4,2,0,2
2020-01-24,5,3,0,2
2020-01-25,6,3,0,3
2020-01-26,8,6,0,2
2020-01-27,8,6,0,2
2020-01-28,14,6,0,8
2020-01-29,14,6,0,8
2020-01-30,14,7,0,7
2020-01-31,19,8,0,11
2020-02-01,19,8,0,11
2020-02-02,19,9,0,10
2020-02-03,19,9,0,10
2020-02-04,25,10,0,15
2020-02-05,25,10,0,15
2020-02-06,25,10,0,15
2020-02-07,25,10,0,15
2020-02-08,32,10,0,22
2020-02-09,32,11,0,21
2020-02-10,32,11,0,21
2020-02-11,33,11,0,22
2020-02-12,33,11,0,22
2020-02-13,33,11,0,22
2020-02-14,33,11,0,22
2020-02-15,34,13,0,21
2020-02-16,34,15,0,19
2020-02-17,35,15,0,20
2020-02-18,35,15,0,20
2020-02-19,35,15,0,20
2020-02-20,35,17,0,18
2020-02-21,35,19,0,16
2020-02-22,35,20,0,15
2020-02-23,35,21,0,14
2020-02-24,35,21,0,14
2020-02-25,37,22,0,15
2020-02-26,40,24,0,16
2020-02-27,40,24,0,16
2020-02-28,41,28,0,13
2020-02-29,42,28,0,14
2020-03-01,42,30,1,11
2020-03-02,43,31,1,11
2020-03-03,43,31,1,11
2020-03-04,43,31,1,11
2020-03-05,47,31,1,15
2020-03-06,48,31,1,16
2020-03-07,50,31,1,18
2020-03-08,50,33,1,16
2020-03-09,50,33,1,16
2020-03-10,53,33,1,19
2020-03-11,59,34,1,24
2020-03-12,70,35,1,34
2020-03-13,75,35,1,39
2020-03-14,82,35,1,46
2020-03-15,114,37,1,76
2020-03-16,147,38,1,108
2020-03-17,177,41,1,135
2020-03-18,212,42,1,169
2020-03-19,272,42,1,229
2020-03-20,322,43,1,278
2020-03-21,411,44,1,366
2020-03-22,599,45,1,553
2020-03-23,721,44,1,676
2020-03-24,827,57,4,766
2020-03-25,934,70,4,860
2020-03-26,1045,88,4,953
2020-03-27,1136,97,5,1034
2020-03-28,1245,100,6,1139
2020-03-29,1388,111,7,1270
2020-03-30,1524,127,9,1388
2020-03-31,1651,342,10,1299
2020-04-01,1771,416,12,1343
2020-04-02,1875,505,15,1355
2020-04-03,1978,581,19,1378
2020-04-04,2067,612,20,1435
2020-04-05,2169,674,23,1472
2020-04-06,2220,793,26,1401
2020-04-07,2258,824,27,1407
2020-04-08,2369,888,30,1451
2020-04-09,2423,940,32,1451
2020-04-10,2473,1013,33,1427
2020-04-11,2518,1135,35,1348
2020-04-12,2551,1218,38,1295
2020-04-13,2579,1288,40,1251
2020-04-14,2613,1405,41,1167
2020-04-15,2643,1497,43,1103
2020-04-16,2672,1593,46,1033
2020-04-17,2700,1689,47,964
2020-04-18,2733,1787,47,899
2020-04-19,2765,1928,47,790
2020-04-20,2792,1999,47,746
2020-04-21,2811,2108,48,655
2020-04-22,2826,2352,49,425
2020-04-23,2839,2430,50,359
2020-04-24,2854,2490,50,314
2020-04-25,2907,2547,51,309
2020-04-26,2922,2594,51,277
2020-04-27,2931,2609,52,270
2020-04-28,2938,2652,54,232
2020-04-29,2947,2665,54,228
2020-04-30,2954,2687,54,213
2020-05-01,2960,2719,54,187
2020-05-02,2966,2732,54,180
2020-05-03,2969,2739,54,176
2020-05-04,2987,2740,54,193
2020-05-05,2988,2747,54,187
2020-05-06,2989,2761,55,173
2020-05-07,2992,2772,55,165
2020-05-08,3000,2784,55,161
2020-05-09,3004,2787,56,161
2020-05-10,3009,2794,56,159
2020-05-11,3015,2796,56,163
2020-05-12,3017,2798,56,163
2020-05-13,3017,2844,56,117
2020-05-14,3018,2850,56,112
2020-05-15,3025,2854,56,115
2020-05-16,3025,2855,56,114
2020-05-17,3028,2856,56,116
2020-05-18,3031,2857,56,118
2020-05-19,3033,2857,56,120
2020-05-20,3034,2888,56,90
2020-05-21,3037,2897,56,84
2020-05-22,3037,2910,56,71
2020-05-23,3040,2916,56,68
2020-05-24,3040,2921,56,63
2020-05-25,3042,2928,57,57
2020-05-26,3045,2929,57,59
2020-05-27,3054,2931,57,66
2020-05-28,3065,2945,57,63
2020-05-29,3076,2945,57,74
2020-05-30,3077,2961,57,59
2020-05-31,3081,2963,57,61
2020-06-01,3082,2965,57,60
2020-06-02,3083,2966,58,59
2020-06-03,3084,2968,58,58
2020-06-04,3101,2968,58,75
2020-06-05,3102,2971,58,73
2020-06-06,3104,2971,58,75
2020-06-07,3112,2972,58,82
2020-06-08,3119,2973,58,88
2020-06-09,3121,2973,58,90
2020-06-10,3125,2981,58,86
2020-06-11,3125,2987,58,80
2020-06-12,3129,2987,58,84
2020-06-13,3134,2987,58,89
2020-06-14,3135,2987,58,90
2020-06-15,3135,2987,58,90
2020-06-16,3135,2993,58,84
2020-06-17,3135,2996,58,81
2020-06-18,3141,2997,58,86
2020-06-19,3146,3008,58,80
2020-06-20,3147,3018,58,71
2020-06-21,3148,3018,58,72
2020-06-22,3151,3022,58,71
2020-06-23,3156,3023,58,75
2020-06-24,3157,3026,58,73
2020-06-25,3158,3038,58,62
2020-06-26,3162,3040,58,64
2020-06-27,3162,3053,58,51
2020-06-28,3162,3053,58,51
2020-06-29,3169,3053,58,58
2020-06-30,3171,3056,58,57
2020-07-01,3173,3059,58,56
2020-07-02,3179,3059,58,62
2020-07-03,3180,3066,58,56
2020-07-04,3185,3066,58,61
2020-07-05,3190,3071,58,61
2020-07-06,3195,3072,58,65
2020-07-07,3195,3072,58,65
2020-07-08,3197,3074,58,65
2020-07-09,3202,3085,58,59
2020-07-10,3202,3087,58,57
2020-07-11,3216,3088,58,70
2020-07-12,3217,3088,58,71
2020-07-13,3220,3090,58,72
2020-07-14,3227,3091,58,78
2020-07-15,3232,3092,58,82
2020-07-16,3236,3095,58,83
2020-07-17,3239,3096,58,85
2020-07-18,3246,3096,58,92
2020-07-19,3249,3096,58,95
2020-07-20,3250,3096,58,96
2020-07-21,3255,3105,58,92
2020-07-22,3253,3105,58,90
2020-07-23,3269,3105,58,106
2020-07-24,3279,3107,58,114
2020-07-25,3282,3109,58,115
2020-07-26,3291,3109,58,124
2020-07-27,3295,3111,58,126
2020-07-28,3297,3111,58,128
2020-07-29,3298,3111,58,129
2020-07-30,3304,3111,58,135
2020-07-31,3310,3125,58,127
2020-08-01,3312,3135,58,119
2020-08-02,3317,3142,58,117
2020-08-03,3320,3142,58,120
2020-08-04,3321,3142,58,121
2020-08-05,3328,3144,58,126
2020-08-06,3330,3148,58,124
2020-08-07,3345,3148,58,139
2020-08-08,3348,3150,58,140
2020-08-09,3351,3151,58,142
2020-08-10,3351,3160,58,133
2020-08-11,3351,3163,58,130
2020-08-12,3356,3169,58,129
2020-08-13,3359,3169,58,132
2020-08-14,3376,3173,58,145
2020-08-15,3376,3193,58,125
2020-08-16,3377,3194,58,125
2020-08-17,3378,3194,58,126
2020-08-18,3381,3198,58,125
2020-08-19,3382,3199,58,125
2020-08-20,3389,3218,58,113
2020-08-21,3390,3219,58,113
2020-08-22,3390,3220,58,112
2020-08-23,3395,3221,58,116
2020-08-24,3397,3222,58,117
2020-08-25,3402,3229,58,115
2020-08-26,3403,3237,58,108
2020-08-27,3404,3237,58,109
2020-08-28,3410,3237,58,115
2020-08-29,3411,3242,58,111
2020-08-30,3411,3252,58,101
2020-08-31,3412,3252,58,102
2020-09-01,3417,3274,58,85
2020-09-02,3425,3274,58,93
2020-09-03,3427,3277,58,92
2020-09-04,3431,3277,58,96
2020-09-05,3438,3279,58,101
2020-09-06,3444,3281,58,105
2020-09-07,3445,3281,58,106
2020-09-08,3446,3284,58,104
2020-09-09,3447,3286,58,103
2020-09-10,3454,3310,58,86
2020-09-11,3461,3312,58,91
2020-09-12,3466,3312,58,96
2020-09-13,3473,3312,58,103
2020-09-14,3475,3312,58,105
2020-09-15,3480,3315,58,107
2020-09-16,3490,3316,58,116
2020-09-17,3490,3325,58,107
2020-09-18,3497,3328,58,111
2020-09-19,3500,3338,59,103
2020-09-20,3506,3342,59,105
2020-09-21,3511,3343,59,109
2020-09-22,3514,3345,59,110
2020-09-23,3516,3353,59,104
2020-09-24,3519,3360,59,100
2020-09-25,3522,3362,59,101
2020-09-26,3523,3367,59,97
2020-09-27,3545,3369,59,117
2020-09-28,3559,3370,59,130
2020-09-29,3564,3374,59,131
2020-09-30,3569,3379,59,131
2020-10-01,3575,3384,59,132
2020-10-02,3583,3386,59,138
2020-10-03,3585,3388,59,138
2020-10-04,3590,3390,59,141
2020-10-05,3600,3390,59,151
2020-10-06,3615,3391,59,165
2020-10-07,3622,3439,59,124
2020-10-08,3628,3441,59,128
2020-10-09,3634,3445,59,130
2020-10-10,3636,3445,59,132
2020-10-11,3641,3454,59,128
2020-10-12,3643,3457,59,127
2020-10-13,3652,3457,59,136
2020-10-14,3665,3463,59,143
2020-10-15,3675,3474,59,142
2020-10-16,3686,3481,59,146
2020-10-17,3679,3478,59,142
2020-10-18,3691,3488,59,144
2020-10-19,3700,3491,59,150
2020-10-20,3709,3495,59,155
2020-10-21,3719,3514,59,146
2020-10-22,3727,3518,59,150
2020-10-23,3731,3529,59,143
2020-10-24,3736,3530,59,147
2020-10-25,3743,3543,59,141
2020-10-26,3746,3551,59,136
2020-10-27,3759,3561,59,139
2020-10-28,3763,3570,59,134
2020-10-29,3775,3585,59,131
2020-10-30,3780,3590,59,131
2020-10-31,3784,3592,59,133
2020-11-01,3787,3595,59,133
2020-11-02,3797,3605,59,133
2020-11-03,3804,3612,59,133
2020-11-04,3810,3623,59,128
2020-11-05,3818,3639,60,119
2020-11-06,3830,3644,60,126
2020-11-07,3837,3654,60,123
2020-11-08,3840,3661,60,119
2020-11-09,3844,3670,60,114
2020-11-10,3847,3685,60,102
2020-11-11,3852,3693,60,99
2020-11-12,3861,3697,60,104
2020-11-13,3866,3707,60,99
2020-11-14,3874,3715,60,99
2020-11-15,3875,3721,60,94
2020-11-16,3878,3724,60,94
2020-11-17,3880,3729,60,91
2020-11-18,3888,3742,60,86
2020-11-19,3892,3745,60,87
2020-11-20,3899,3750,60,89
2020-11-21,3922,3772,60,90
2020-11-22,3920,3766,60,94
2020-11-23,3910,3755,60,95
2020-11-24,3926,3780,60,86
2020-11-25,3942,3788,60,94
2020-11-26,3961,3790,60,111
2020-11-27,3966,3798,60,108
2020-11-28,3977,3800,60,117
2020-11-29,3998,3803,60,135
2020-11-30,4008,3811,60,137
2020-12-01,4026,3822,60,144
2020-12-02,4039,3832,60,147
