date,confirmed,recovered,deaths,active
2020-01-22,1,0,0,1
2020-01-23,1,0,0,1
2020-01-24,2,0,0,2
2020-01-25,2,0,0,2
2020-01-26,5,0,0,5
2020-01-27,5,0,0,5
2020-01-28,5,0,0,5
2020-01-29,6,0,0,6
2020-01-30,6,0,0,6
2020-01-31,8,0,0,8
2020-02-01,8,0,0,8
2020-02-02,8,0,0,8
2020-02-03,11,0,0,11
2020-02-04,11,0,0,11
2020-02-05,11,0,0,11
2020-02-06,12,0,0,12
2020-02-07,12,0,0,12
2020-02-08,12,0,0,12
2020-02-09,12,3,0,9
2020-02-10,12,3,0,9
2020-02-11,13,3,0,10
2020-02-12,13,3,0,10
2020-02-13,14,3,0,11
2020-02-14,14,3,0,11
2020-02-15,14,3,0,11
2020-02-16,14,3,0,11
2020-02-17,14,3,0,11
2020-02-18,14,3,0,11
2020-02-19,14,3,0,11
2020-02-20,14,3,0,11
2020-02-21,16,5,0,11
2020-02-22,16,5,0,11
2020-02-23,16,5,0,11
2020-02-24,16,5,0,11
2020-02-25,16,6,0,10
2020-02-26,16,6,0,10
2020-02-27,17,6,0,11
2020-02-28,17,7,0,10
2020-02-29,25,7,1,17
2020-03-01,32,7,1,24
2020-03-02,55,7,6,42
2020-03-03,74,7,7,60
2020-03-04,107,7,11,89
2020-03-05,184,7,12,165
2020-03-06,237,7,14,216
2020-03-07,403,7,17,379
2020-03-08,519,7,21,491
2020-03-09,594,7,22,565
2020-03-10,782,8,28,746
2020-03-11,1147,8,33,1106
2020-03-12,1586,12,43,1531
2020-03-13,2219,12,51,2156
2020-03-14,2978,12,58,2908
2020-03-15,3212,12,70,3130
2020-03-16,4679,17,97,4565
2020-03-17,6512,17,134,6361
2020-03-18,9169,105,194,8870
2020-03-19,13663,121,266,13276
2020-03-20,20030,147,372,19511
2020-03-21,26025,176,475,25374
2020-03-22,34944,178,603,34163
2020-03-23,46096,178,790,45128
2020-03-24,56714,348,1033,55333
2020-03-25,68841,361,1366,67114
2020-03-26,86662,681,1783,84198
2020-03-27,105253,869,2305,102079
2020-03-28,127417,1072,3018,123327
2020-03-29,143544,2665,3573,137306
2020-03-30,165698,5644,4280,155774
2020-03-31,192079,7024,5359,179696
2020-04-01,224311,8474,6635,209202
2020-04-02,256541,9001,8146,239394
2020-04-03,289023,9707,9566,269750
2020-04-04,321199,14652,11172,295375
2020-04-05,350803,17448,12790,320565
2020-04-06,382661,19581,14523,348557
2020-04-07,413004,21763,17099,374142
2020-04-08,444153,23559,19250,401344
2020-04-09,480596,25410,21463,433723
2020-04-10,514943,28790,23649,462504
2020-04-11,544221,31270,25790,487161
2020-04-12,571093,32988,27679,510426
2020-04-13,598017,43482,29657,524878
2020-04-14,626412,47763,32132,546517
2020-04-15,652312,52096,34719,565497
2020-04-16,682268,54703,36908,590657
2020-04-17,715425,58545,39007,617873
2020-04-18,743419,64840,40951,637628
2020-04-19,769342,70337,42934,656071
2020-04-20,799022,72329,45179,681514
2020-04-21,825192,75204,47662,702326
2020-04-22,854611,77366,50119,727126
2020-04-23,887380,80203,52543,754634
2020-04-24,919532,99079,54712,765741
2020-04-25,950526,100372,56444,793710
2020-04-26,977073,106988,57850,812235
2020-04-27,1000823,111424,59330,830069
2020-04-28,1025513,115936,61571,848006
2020-04-29,1051733,120720,63962,867051
2020-04-30,1080974,153947,66154,860873
2020-05-01,1115995,164015,68063,883917
2020-05-02,1143819,175382,69804,898633
2020-05-03,1168311,180152,71007,917152
2020-05-04,1192024,187180,72365,932479
2020-05-05,1216353,189791,74586,951976
2020-05-06,1240616,189910,76905,973801
2020-05-07,1268273,195036,78822,994415
2020-05-08,1295545,198993,80594,1015958
