date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,1,0,0,1
2020-03-04,1,0,0,1
2020-03-05,1,0,0,1
2020-03-06,1,0,0,1
2020-03-07,1,0,0,1
2020-03-08,1,0,0,1
2020-03-09,1,0,0,1
2020-03-10,1,0,0,1
2020-03-11,1,0,0,1
2020-03-12,1,0,0,1
2020-03-13,3,0,1,2
2020-03-14,3,0,1,2
2020-03-15,3,0,1,2
2020-03-16,7,0,1,6
2020-03-17,14,0,2,12
2020-03-18,14,0,2,12
2020-03-19,16,0,2,14
2020-03-20,29,0,3,26
2020-03-21,47,1,3,43
2020-03-22,73,1,3,69
2020-03-23,73,1,3,69
2020-03-24,97,1,3,93
2020-03-25,145,1,5,139
2020-03-26,196,1,5,190
2020-03-27,310,5,5,300
2020-03-28,356,5,9,342
2020-03-29,475,6,10,459
2020-03-30,548,8,13,527
2020-03-31,645,10,17,618
2020-04-01,794,13,20,761
2020-04-02,897,19,22,856
2020-04-03,1072,22,27,1023
