date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,2,0,0,2
2020-02-01,2,0,0,2
2020-02-02,2,0,0,2
2020-02-03,8,0,0,8
2020-02-04,8,0,0,8
2020-02-05,9,0,0,9
2020-02-06,9,0,0,9
2020-02-07,9,0,0,9
2020-02-08,13,0,0,13
2020-02-09,14,0,0,14
2020-02-10,14,0,0,14
2020-02-11,15,0,0,15
2020-02-12,16,1,0,15
2020-02-13,17,1,0,16
2020-02-14,18,1,0,17
2020-02-15,18,1,0,17
2020-02-16,18,8,0,10
2020-02-17,19,8,0,11
2020-02-18,19,8,0,11
2020-02-19,20,8,0,12
2020-02-20,22,8,0,14
2020-02-21,23,8,0,15
2020-02-22,23,8,0,15
2020-02-23,28,8,0,20
2020-02-24,30,8,0,22
2020-02-25,34,8,0,26
2020-02-26,37,8,0,29
2020-02-27,44,8,0,36
2020-02-28,56,8,0,48
2020-02-29,61,8,0,53
2020-03-01,94,8,0,86
2020-03-02,134,8,0,126
2020-03-03,189,8,0,181
2020-03-04,246,8,0,238
2020-03-05,295,8,0,287
2020-03-06,374,8,1,365
2020-03-07,429,18,2,409
2020-03-08,483,18,2,463
2020-03-09,630,18,3,609
2020-03-10,889,19,7,863
2020-03-11,1301,19,7,1275
2020-03-12,1790,19,9,1762
2020-03-13,2270,19,10,2241
2020-03-14,2634,19,29,2586
2020-03-15,3077,19,43,3015
2020-03-16,3692,21,66,3605
2020-03-17,4462,53,83,4326
2020-03-18,5468,68,118,5282
2020-03-19,6534,68,164,6302
2020-03-20,7792,68,196,7528
2020-03-21,9007,68,254,8685
2020-03-22,10395,67,289,10039
2020-03-23,12744,67,365,12312
2020-03-24,15126,140,513,14473
2020-03-25,17843,140,704,16999
2020-03-26,20970,150,886,19934
2020-03-27,24219,151,1174,22894
2020-03-28,27062,151,1466,25445
2020-03-29,29954,151,1679,28124
2020-03-30,34281,171,2053,32057
2020-03-31,38815,179,2457,36179
