date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,2,0,0,2
2020-02-26,0,0,0,0
2020-02-27,1,0,0,1
2020-02-28,0,0,0,0
2020-02-29,6,0,0,6
2020-03-01,5,0,0,5
2020-03-02,4,0,0,4
2020-03-03,3,0,0,3
2020-03-04,8,0,0,8
2020-03-05,12,0,0,12
2020-03-06,14,0,0,14
2020-03-07,24,0,0,24
2020-03-08,25,0,0,25
2020-03-09,27,2,0,25
2020-03-10,51,2,0,49
2020-03-11,64,0,0,64
2020-03-12,56,0,1,55
2020-03-13,202,2,0,200
2020-03-14,151,0,0,151
2020-03-15,205,0,0,205
2020-03-16,158,0,2,156
2020-03-17,314,-5,0,319
2020-03-18,314,8,1,305
2020-03-19,367,0,2,365
2020-03-20,375,0,0,375
2020-03-21,426,0,2,424
2020-03-22,768,0,8,760
2020-03-23,892,0,5,887
2020-03-24,809,0,7,802
2020-03-25,305,0,2,303
2020-03-26,1321,103,19,1199
2020-03-27,748,113,9,626
2020-03-28,614,0,10,604
2020-03-29,517,254,18,245
2020-03-30,830,157,22,651
2020-03-31,562,459,20,83
2020-04-01,531,341,18,172
2020-04-02,418,313,12,93
2020-04-03,395,273,10,112
