date,confirmed,recovered,deaths,active
2020-01-22,548,28,17,503
2020-01-23,95,2,1,92
2020-01-24,277,6,8,263
2020-01-25,486,3,16,467
2020-01-26,669,10,14,645
2020-01-27,802,9,26,767
2020-01-28,2632,43,49,2540
2020-01-29,578,19,2,557
2020-01-30,2054,15,38,2001
2020-01-31,1661,79,42,1540
2020-02-01,2089,61,46,1982
2020-02-02,4739,188,102,4449
2020-02-03,3086,151,64,2871
2020-02-04,3991,229,66,3696
2020-02-05,3733,272,72,3389
2020-02-06,3147,362,70,2715
2020-02-07,3523,522,85,2916
2020-02-08,2704,597,87,2020
2020-02-09,3015,623,100,2292
2020-02-10,2525,699,107,1719
2020-02-11,2032,718,100,1214
2020-02-12,373,446,5,-78
2020-02-13,15136,1135,252,13749
2020-02-14,6463,1760,152,4551
2020-02-15,2055,1321,142,592
2020-02-16,2100,1457,103,540
2020-02-17,1921,1707,98,116
2020-02-18,1777,1744,139,-106
2020-02-19,408,1756,113,-1461
2020-02-20,458,2052,122,-1716
2020-02-21,473,690,0,-217
2020-02-22,1451,3995,205,-2749
2020-02-23,21,488,2,-469
2020-02-24,219,1828,150,-1759
2020-02-25,513,2661,70,-2218
2020-02-26,412,2408,52,-2048
2020-02-27,434,2846,29,-2441
2020-02-28,328,3399,44,-3115
2020-02-29,428,2991,47,-2610
2020-03-01,576,2842,35,-2301
2020-03-02,204,2692,42,-2530
2020-03-03,125,2596,33,-2504
2020-03-04,125,2551,36,-2462
2020-03-05,151,2291,32,-2172
2020-03-06,153,1652,29,-1528
2020-03-07,80,1595,28,-1543
2020-03-08,53,1849,28,-1824
2020-03-09,37,1416,23,-1402
2020-03-10,27,1377,16,-1366
2020-03-11,34,1463,22,-1451
2020-03-12,11,1257,11,-1257
2020-03-13,13,1295,8,-1290
2020-03-14,32,1464,13,-1445
2020-03-15,26,1357,10,-1341
2020-03-16,30,893,14,-877
2020-03-17,25,888,13,-876
2020-03-18,44,957,11,-924
2020-03-19,54,780,8,-734
2020-03-20,94,731,4,-641
2020-03-21,55,591,6,-542
2020-03-22,130,505,15,-390
2020-03-23,63,452,0,-389
2020-03-24,93,466,7,-380
2020-03-25,70,493,4,-427
2020-03-26,121,408,6,-293
2020-03-27,115,539,5,-429
2020-03-28,102,380,3,-281
