date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,1,0,0,1
2020-02-25,0,0,0,0
2020-02-26,4,0,0,4
2020-02-27,2,0,0,2
2020-02-28,0,0,0,0
2020-02-29,6,0,0,6
2020-03-01,6,0,0,6
2020-03-02,7,0,0,7
2020-03-03,6,0,0,6
2020-03-04,3,0,2,1
2020-03-05,0,0,0,0
2020-03-06,5,0,1,4
2020-03-07,14,0,1,13
2020-03-08,6,0,2,4
2020-03-09,0,3,0,-3
2020-03-10,11,0,1,10
2020-03-11,0,12,0,-12
2020-03-12,0,0,1,-1
2020-03-13,30,9,1,20
2020-03-14,9,2,1,6
2020-03-15,6,0,0,6
2020-03-16,8,0,0,8
2020-03-17,30,6,1,23
2020-03-18,10,11,1,-2
2020-03-19,28,0,1,27
2020-03-20,16,6,4,6
2020-03-21,6,2,0,4
2020-03-22,19,6,3,10
2020-03-23,33,0,3,30
2020-03-24,50,18,4,28
2020-03-25,30,28,2,0
2020-03-26,36,2,7,27
2020-03-27,76,17,4,55
2020-03-28,48,9,2,37
2020-03-29,41,12,0,29
2020-03-30,83,9,4,70
2020-03-31,64,18,4,42
2020-04-01,34,12,2,20
2020-04-02,44,20,2,22
2020-04-03,48,24,0,24
