date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,1,0,0,1
2020-02-29,3,0,0,3
2020-03-01,1,0,0,1
2020-03-02,0,0,0,0
2020-03-03,0,1,0,-1
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,1,0,0,1
2020-03-07,0,0,0,0
2020-03-08,1,0,0,1
2020-03-09,0,0,0,0
2020-03-10,0,3,0,-3
2020-03-11,1,0,0,1
2020-03-12,4,0,0,4
2020-03-13,14,0,0,14
2020-03-14,15,0,0,15
2020-03-15,12,0,0,12
2020-03-16,29,0,0,29
2020-03-17,11,0,0,11
2020-03-18,25,0,0,25
2020-03-19,46,0,1,45
2020-03-20,39,0,1,38
2020-03-21,48,0,0,48
2020-03-22,65,0,1,64
2020-03-23,51,0,1,50
2020-03-24,38,0,1,37
2020-03-25,70,0,1,69
2020-03-26,110,0,2,108
2020-03-27,132,0,4,128
2020-03-28,131,0,4,127
2020-03-29,145,0,4,141
2020-03-30,101,31,8,62
2020-03-31,121,0,1,120
2020-04-01,163,0,8,155
2020-04-02,132,0,13,119
2020-04-03,178,598,10,-430
