date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,1,0,0,1
2020-02-28,0,0,0,0
2020-02-29,5,0,0,5
2020-03-01,4,0,0,4
2020-03-02,8,0,0,8
2020-03-03,6,0,0,6
2020-03-04,14,0,0,14
2020-03-05,44,0,0,44
2020-03-06,46,0,1,45
2020-03-07,60,0,0,60
2020-03-08,77,0,2,75
2020-03-09,56,0,0,56
2020-03-10,61,0,1,60
2020-03-11,121,0,1,120
2020-03-12,0,0,0,0
2020-03-13,303,0,5,298
2020-03-14,156,0,2,154
2020-03-15,176,0,8,168
2020-03-16,278,0,4,274
2020-03-17,295,0,19,276
2020-03-18,347,0,15,332
2020-03-19,409,0,19,390
2020-03-20,536,0,30,506
2020-03-21,637,0,30,607
2020-03-22,577,0,43,534
2020-03-23,547,0,34,513
2020-03-24,816,1,63,752
2020-03-25,858,0,80,778
2020-03-26,1030,2,78,950
2020-03-27,1179,0,112,1067
2020-03-28,1172,0,93,1079
2020-03-29,1111,0,132,979
2020-03-30,887,0,93,794
2020-03-31,850,0,175,675
2020-04-01,1029,7,135,887
2020-04-02,1092,0,166,926
2020-04-03,1033,0,149,884
