date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,1,0,0,1
2020-02-27,0,0,0,0
2020-02-28,5,0,0,5
2020-02-29,9,0,0,9
2020-03-01,4,0,0,4
2020-03-02,6,0,0,6
2020-03-03,7,0,0,7
2020-03-04,24,0,0,24
2020-03-05,31,0,0,31
2020-03-06,21,0,0,21
2020-03-07,39,0,0,39
2020-03-08,29,0,0,29
2020-03-09,29,1,0,28
2020-03-10,195,0,0,195
2020-03-11,198,0,0,198
2020-03-12,104,0,0,104
2020-03-13,294,0,0,294
2020-03-14,94,0,3,91
2020-03-15,131,0,0,131
2020-03-16,112,0,0,112
2020-03-17,130,0,0,130
2020-03-18,87,0,3,84
2020-03-19,196,0,1,195
2020-03-20,168,0,0,168
2020-03-21,204,0,0,204
2020-03-22,267,0,0,267
2020-03-23,236,0,3,233
2020-03-24,242,5,2,235
2020-03-25,221,0,2,219
2020-03-26,285,0,0,285
2020-03-27,386,0,5,381
2020-03-28,260,1,4,255
2020-03-29,269,0,2,267
2020-03-30,161,5,7,149
2020-03-31,196,1,7,188
2020-04-01,222,0,5,217
2020-04-02,284,19,6,259
2020-04-03,223,0,9,214
