date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,1,0,1,0
2020-03-07,0,0,0,0
2020-03-08,5,0,1,4
2020-03-09,1,0,0,1
2020-03-10,4,0,0,4
2020-03-11,0,0,0,0
2020-03-12,4,0,1,3
2020-03-13,13,0,0,13
2020-03-14,10,0,0,10
2020-03-15,5,0,2,3
2020-03-16,43,0,0,43
2020-03-17,31,1,4,26
2020-03-18,28,0,6,22
2020-03-19,89,0,5,84
2020-03-20,0,0,6,-6
2020-03-21,84,0,4,80
2020-03-22,45,0,4,41
2020-03-23,32,0,5,27
2020-03-24,21,0,6,15
2020-03-25,64,0,12,52
2020-03-26,100,13,6,81
2020-03-27,55,2,8,45
2020-03-28,36,0,15,21
2020-03-29,181,0,9,172
2020-03-30,98,37,18,43
2020-03-31,115,341,25,-251
2020-04-01,258,0,23,235
2020-04-02,91,143,22,-74
2020-04-03,181,0,26,155
