date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,1,0,0,1
2020-01-24,2,0,0,2
2020-01-25,0,0,0,0
2020-01-26,1,0,0,1
2020-01-27,1,0,0,1
2020-01-28,2,0,0,2
2020-01-29,0,0,0,0
2020-01-30,3,0,0,3
2020-01-31,3,0,0,3
2020-02-01,3,0,0,3
2020-02-02,2,0,0,2
2020-02-03,0,0,0,0
2020-02-04,6,0,0,6
2020-02-05,4,0,0,4
2020-02-06,0,0,0,0
2020-02-07,2,0,0,2
2020-02-08,3,2,0,1
2020-02-09,7,0,0,7
2020-02-10,5,0,0,5
2020-02-11,2,7,0,-5
2020-02-12,3,6,0,-3
2020-02-13,8,0,0,8
2020-02-14,9,2,0,7
2020-02-15,5,1,0,4
2020-02-16,3,0,0,3
2020-02-17,2,6,0,-4
2020-02-18,4,5,0,-1
2020-02-19,3,5,0,-2
2020-02-20,0,0,0,0
2020-02-21,1,3,0,-2
2020-02-22,0,0,0,0
2020-02-23,4,14,0,-10
2020-02-24,0,0,0,0
2020-02-25,2,2,0,0
2020-02-26,2,9,0,-7
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,9,10,0,-1
2020-03-01,4,0,0,4
2020-03-02,2,6,0,-4
2020-03-03,2,0,0,2
2020-03-04,0,0,0,0
2020-03-05,7,0,0,7
2020-03-06,13,0,0,13
2020-03-07,8,0,0,8
2020-03-08,12,0,0,12
2020-03-09,0,0,0,0
2020-03-10,10,0,0,10
2020-03-11,18,18,0,0
2020-03-12,0,0,0,0
2020-03-13,22,1,0,21
2020-03-14,12,8,0,4
2020-03-15,14,0,0,14
2020-03-16,17,4,0,13
2020-03-17,23,5,0,18
2020-03-18,47,0,0,47
2020-03-19,32,0,0,32
2020-03-20,40,10,0,30
2020-03-21,47,16,2,29
2020-03-22,23,4,0,19
2020-03-23,54,0,0,54
2020-03-24,49,12,0,37
2020-03-25,73,4,0,69
2020-03-26,52,12,0,40
2020-03-27,49,11,0,38
2020-03-28,70,15,0,55
2020-03-29,42,14,1,27
2020-03-30,35,16,0,19
2020-03-31,47,12,0,35
2020-04-01,74,5,0,69
2020-04-02,49,21,1,27
2020-04-03,65,16,1,48
2020-04-04,75,15,1,59
2020-04-05,120,23,0,97
2020-04-06,66,24,0,42
2020-04-07,106,33,0,73
2020-04-08,142,29,0,113
2020-04-09,287,54,0,233
2020-04-10,198,32,1,165
2020-04-11,191,36,1,154
2020-04-12,233,32,0,201
2020-04-13,386,26,1,359
2020-04-14,334,25,1,308
2020-04-15,447,41,0,406
2020-04-16,728,31,0,697
2020-04-17,623,25,1,597
2020-04-18,942,32,0,910
2020-04-19,596,28,0,568
2020-04-20,1426,33,0,1393
2020-04-21,1111,38,0,1073
2020-04-22,1016,57,1,958
2020-04-23,1037,28,0,1009
2020-04-24,897,32,0,865
2020-04-25,618,46,0,572
2020-04-26,931,58,0,873
2020-04-27,799,35,2,762
2020-04-28,528,33,0,495
2020-04-29,690,60,0,630
2020-04-30,528,56,1,471
2020-05-01,932,24,1,907
2020-05-02,447,79,1,367
2020-05-03,657,61,1,595
2020-05-04,573,49,0,524
2020-05-05,632,62,0,570
2020-05-06,788,115,2,671
2020-05-07,741,78,0,663
2020-05-08,768,328,0,440
2020-05-09,753,256,0,497
2020-05-10,876,425,0,451
2020-05-11,486,504,1,-19
2020-05-12,849,626,0,223
2020-05-13,675,958,0,-283
2020-05-14,752,1164,0,-412
2020-05-15,793,1275,0,-482
2020-05-16,465,1094,1,-630
2020-05-17,682,998,0,-316
2020-05-18,305,495,0,-190
2020-05-19,451,530,0,-79
2020-05-20,570,842,0,-272
2020-05-21,448,910,1,-463
2020-05-22,614,878,0,-264
2020-05-23,642,887,0,-245
2020-05-24,548,994,0,-446
2020-05-25,344,862,0,-518
2020-05-26,383,706,0,-323
2020-05-27,533,832,0,-299
2020-05-28,373,1018,0,-645
2020-05-29,611,1337,0,-726
2020-05-30,506,1096,0,-590
2020-05-31,518,972,0,-454
2020-06-01,408,767,1,-360
2020-06-02,544,709,0,-165
2020-06-03,569,407,0,162
2020-06-04,517,322,0,195
2020-06-05,261,305,0,-44
2020-06-06,344,350,1,-7
2020-06-07,383,327,0,56
2020-06-08,386,482,0,-96
2020-06-09,218,509,0,-291
2020-06-10,451,655,0,-204
2020-06-11,422,754,0,-332
2020-06-12,463,754,0,-291
2020-06-13,347,768,1,-422
2020-06-14,407,781,0,-374
2020-06-15,214,777,0,-563
2020-06-16,151,797,0,-646
2020-06-17,247,775,0,-528
2020-06-18,257,774,0,-517
2020-06-19,142,747,0,-605
2020-06-20,218,765,0,-547
2020-06-21,262,718,0,-456
