date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,1,0,0,1
2020-03-07,0,0,0,0
2020-03-08,2,0,0,2
2020-03-09,2,0,0,2
2020-03-10,2,0,0,2
2020-03-11,0,0,0,0
2020-03-12,3,0,0,3
2020-03-13,11,0,0,11
2020-03-14,11,0,0,11
2020-03-15,12,0,0,12
2020-03-16,17,0,0,17
2020-03-17,11,0,0,11
2020-03-18,24,0,1,23
2020-03-19,8,0,0,8
2020-03-20,19,0,0,19
2020-03-21,14,0,0,14
2020-03-22,41,7,-1,35
2020-03-23,7,0,0,7
2020-03-24,19,0,0,19
2020-03-25,12,0,0,12
2020-03-26,10,-5,0,15
2020-03-27,43,0,0,43
2020-03-28,23,0,0,23
2020-03-29,22,0,0,22
2020-03-30,22,5,0,17
2020-03-31,27,-4,0,31
2020-04-01,37,0,1,36
2020-04-02,26,2,0,24
2020-04-03,24,5,0,19
