date,confirmed,recovered,deaths,active
2020-01-22,1,0,0,1
2020-01-23,0,0,0,0
2020-01-24,2,0,0,2
2020-01-25,0,0,0,0
2020-01-26,1,0,0,1
2020-01-27,1,0,0,1
2020-01-28,3,0,0,3
2020-01-29,0,0,0,0
2020-01-30,1,0,0,1
2020-01-31,1,0,0,1
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,1,0,0,1
2020-02-05,0,0,0,0
2020-02-06,5,1,0,4
2020-02-07,0,0,0,0
2020-02-08,1,0,0,1
2020-02-09,1,0,0,1
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,1,0,-1
2020-02-15,0,0,0,0
2020-02-16,2,0,1,1
2020-02-17,2,0,0,2
2020-02-18,0,0,0,0
2020-02-19,1,0,0,1
2020-02-20,1,0,0,1
2020-02-21,2,0,0,2
2020-02-22,0,0,0,0
2020-02-23,2,0,0,2
2020-02-24,2,3,0,-1
2020-02-25,1,0,0,1
2020-02-26,1,0,0,1
2020-02-27,0,0,0,0
2020-02-28,2,1,0,1
2020-02-29,5,3,0,2
2020-03-01,1,0,0,1
2020-03-02,1,3,0,-2
2020-03-03,1,0,0,1
2020-03-04,0,0,0,0
2020-03-05,2,0,0,2
2020-03-06,1,0,0,1
2020-03-07,0,0,0,0
2020-03-08,0,1,0,-1
2020-03-09,0,2,0,-2
2020-03-10,2,2,0,0
2020-03-11,1,0,0,1
2020-03-12,1,3,0,-2
2020-03-13,1,0,0,1
2020-03-14,3,0,0,3
2020-03-15,6,0,0,6
2020-03-16,8,0,0,8
2020-03-17,10,2,0,8
2020-03-18,23,0,0,23
2020-03-19,8,4,0,4
2020-03-20,27,0,1,26
2020-03-21,18,2,0,16
2020-03-22,16,0,0,16
2020-03-23,26,0,0,26
2020-03-24,20,1,0,19
2020-03-25,20,0,0,20
2020-03-26,17,0,0,17
2020-03-27,15,0,0,15
2020-03-28,16,1,0,15
2020-03-29,15,0,0,15
2020-03-30,8,9,3,-4
2020-03-31,16,0,0,16
2020-04-01,7,0,0,7
2020-04-02,10,6,0,4
2020-04-03,9,5,0,4
2020-04-04,7,0,0,7
2020-04-05,8,0,0,8
2020-04-06,10,7,0,3
2020-04-07,3,0,0,3
2020-04-08,3,4,0,-1
2020-04-09,1,6,0,-5
2020-04-10,2,24,1,-23
2020-04-11,3,8,0,-5
2020-04-12,3,10,0,-7
2020-04-13,5,0,0,5
2020-04-14,0,15,0,-15
2020-04-15,2,0,0,2
2020-04-16,0,31,0,-31
2020-04-17,0,11,0,-11
2020-04-18,3,12,0,-9
2020-04-19,22,11,0,11
2020-04-20,2,14,0,-12
2020-04-21,3,14,0,-11
2020-04-22,1,19,0,-18
2020-04-23,1,17,0,-16
2020-04-24,1,11,0,-10
