date,confirmed,recovered,deaths,active
2020-01-22,1,0,0,1
2020-01-23,0,0,0,0
2020-01-24,1,0,0,1
2020-01-25,0,0,0,0
2020-01-26,3,0,0,3
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,1,0,0,1
2020-01-30,0,0,0,0
2020-01-31,2,0,0,2
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,3,0,0,3
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,1,0,0,1
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,3,0,-3
2020-02-10,0,0,0,0
2020-02-11,1,0,0,1
2020-02-12,0,0,0,0
2020-02-13,1,0,0,1
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,2,2,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,1,0,-1
2020-02-26,0,0,0,0
2020-02-27,1,0,0,1
2020-02-28,0,1,0,-1
2020-02-29,8,0,1,7
2020-03-01,7,0,0,7
2020-03-02,23,0,5,18
2020-03-03,19,0,1,18
2020-03-04,33,0,4,29
2020-03-05,77,0,1,76
2020-03-06,53,0,2,51
2020-03-07,166,0,3,163
2020-03-08,116,0,4,112
2020-03-09,75,0,1,74
2020-03-10,188,1,6,181
2020-03-11,365,0,5,360
2020-03-12,439,4,10,425
2020-03-13,633,0,8,625
2020-03-14,759,0,7,752
2020-03-15,234,0,12,222
2020-03-16,1467,5,27,1435
2020-03-17,1833,0,37,1796
2020-03-18,2657,88,60,2509
2020-03-19,4494,16,72,4406
2020-03-20,6367,26,106,6235
2020-03-21,5995,29,103,5863
2020-03-22,8919,2,128,8789
2020-03-23,11152,0,187,10965
2020-03-24,10618,170,243,10205
2020-03-25,12127,13,333,11781
2020-03-26,17821,320,417,17084
2020-03-27,18591,188,522,17881
2020-03-28,22164,203,713,21248
2020-03-29,16127,1593,555,13979
2020-03-30,22154,2979,707,18468
2020-03-31,26381,1380,1079,23922
2020-04-01,32232,1450,1276,29506
2020-04-02,32230,527,1511,30192
2020-04-03,32482,706,1420,30356
2020-04-04,32176,4945,1606,25625
2020-04-05,29604,2796,1618,25190
2020-04-06,31858,2133,1733,27992
2020-04-07,30343,2182,2576,25585
2020-04-08,31149,1796,2151,27202
2020-04-09,36443,1851,2213,32379
2020-04-10,34347,3380,2186,28781
2020-04-11,29278,2480,2141,24657
2020-04-12,26872,1718,1889,23265
2020-04-13,26924,10494,1978,14452
2020-04-14,28395,4281,2475,21639
2020-04-15,25900,4333,2587,18980
2020-04-16,29956,2607,2189,25160
2020-04-17,33157,3842,2099,27216
2020-04-18,27994,6295,1944,19755
