date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,2,0,0,2
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,4,1,0,3
2020-02-02,0,0,0,0
2020-02-03,2,0,0,2
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,2,0,0,2
2020-02-07,0,0,0,0
2020-02-08,3,0,0,3
2020-02-09,0,0,0,0
2020-02-10,1,0,0,1
2020-02-11,1,5,0,-4
2020-02-12,0,0,0,0
2020-02-13,1,1,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,7,0,-7
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,2,0,-2
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,0,0,0,0
2020-03-06,0,0,0,0
2020-03-07,2,0,0,2
2020-03-08,12,0,0,12
2020-03-09,0,0,0,0
2020-03-10,1,0,0,1
2020-03-11,7,0,0,7
2020-03-12,1,0,0,1
2020-03-13,8,0,0,8
2020-03-14,6,0,0,6
2020-03-15,3,0,0,3
2020-03-16,5,0,0,5
2020-03-17,5,0,0,5
2020-03-18,9,0,0,9
2020-03-19,10,0,0,10
2020-03-20,6,0,0,6
2020-03-21,3,1,0,2
2020-03-22,19,0,0,19
2020-03-23,10,0,0,10
2020-03-24,11,0,0,11
2020-03-25,7,0,0,7
2020-03-26,12,3,0,9
2020-03-27,10,0,0,10
2020-03-28,11,1,0,10
2020-03-29,14,4,0,10
2020-03-30,15,30,0,-15
2020-03-31,9,3,0,6
2020-04-01,6,5,0,1
2020-04-02,15,12,0,3
2020-04-03,4,10,0,-6
2020-04-04,3,5,0,-2
2020-04-05,1,0,0,1
2020-04-06,4,5,0,-1
2020-04-07,4,28,0,-24
2020-04-08,2,3,0,-1
2020-04-09,4,2,0,2
2020-04-10,2,16,0,-14
2020-04-11,1,0,0,1
2020-04-12,4,0,0,4
2020-04-13,3,2,0,1
2020-04-14,1,23,0,-22
2020-04-15,1,2,0,-1
2020-04-16,1,6,0,-5
2020-04-17,0,21,0,-21
2020-04-18,0,3,0,-3
2020-04-19,0,1,0,-1
2020-04-20,0,12,0,-12
2020-04-21,0,2,0,-2
2020-04-22,0,7,0,-7
2020-04-23,0,1,0,-1
2020-04-24,2,-4,0,6
2020-04-25,0,5,0,-5
2020-04-26,0,0,0,0
2020-04-27,0,0,0,0
2020-04-28,0,-3,0,3
2020-04-29,0,0,0,0
2020-04-30,0,-3,0,3
2020-05-01,0,0,0,0
2020-05-02,0,0,0,0
2020-05-03,1,0,0,1
2020-05-04,0,0,0,0
2020-05-05,0,13,0,-13
2020-05-06,0,0,0,0
2020-05-07,17,1,0,16
2020-05-08,0,8,0,-8
2020-05-09,0,0,0,0
2020-05-10,0,0,0,0
2020-05-11,0,8,0,-8
2020-05-12,0,3,0,-3
2020-05-13,0,0,0,0
2020-05-14,24,8,0,16
2020-05-15,2,0,0,2
2020-05-16,4,0,0,4
2020-05-17,2,0,0,2
2020-05-18,4,3,0,1
2020-05-19,0,0,0,0
2020-05-20,0,0,0,0
2020-05-21,0,3,0,-3
2020-05-22,0,1,0,-1
2020-05-23,1,0,0,1
2020-05-24,0,0,0,0
2020-05-25,1,5,0,-4
2020-05-26,1,0,0,1
2020-05-27,0,6,0,-6
2020-05-28,0,0,0,0
2020-05-29,1,1,0,0
2020-05-30,0,0,0,0
2020-05-31,0,0,0,0
2020-06-01,0,14,0,-14
2020-06-02,0,5,0,-5
2020-06-03,0,4,0,-4
2020-06-04,0,0,0,0
2020-06-05,0,5,0,-5
2020-06-06,1,0,0,1
2020-06-07,2,0,0,2
2020-06-08,1,9,0,-8
2020-06-09,0,0,0,0
2020-06-10,0,4,0,-4
2020-06-11,0,1,0,-1
2020-06-12,1,2,0,-1
2020-06-13,1,0,0,1
2020-06-14,0,0,0,0
2020-06-15,0,0,0,0
2020-06-16,0,2,0,-2
2020-06-17,1,0,0,1
2020-06-18,7,0,0,7
2020-06-19,7,1,0,6
2020-06-20,0,1,0,-1
2020-06-21,0,0,0,0
2020-06-22,0,1,0,-1
2020-06-23,0,1,0,-1
2020-06-24,3,0,0,3
2020-06-25,0,0,0,0
2020-06-26,1,1,0,0
2020-06-27,2,0,0,2
2020-06-28,0,0,0,0
2020-06-29,0,5,0,-5
2020-06-30,0,0,0,0
2020-07-01,0,1,0,-1
2020-07-02,0,4,0,-4
2020-07-03,0,0,0,0
2020-07-04,0,0,0,0
2020-07-05,0,0,0,0
2020-07-06,14,1,0,13
2020-07-07,0,1,0,-1
2020-07-08,0,5,0,-5
2020-07-09,0,0,0,0
2020-07-10,1,3,0,-2
2020-07-11,0,0,0,0
2020-07-12,2,0,0,2
2020-07-13,1,2,0,-1
2020-07-14,0,0,0,0
2020-07-15,8,1,0,7
2020-07-16,0,3,0,-3
2020-07-17,1,0,0,1
2020-07-18,0,1,0,-1
2020-07-19,1,0,0,1
2020-07-20,1,3,0,-2
2020-07-21,17,5,0,12
2020-07-22,7,0,0,7
2020-07-23,4,0,0,4
2020-07-24,3,0,0,3
2020-07-25,2,0,0,2
2020-07-26,3,0,0,3
2020-07-27,11,0,0,11
2020-07-28,15,4,0,11
2020-07-29,13,0,0,13
2020-07-30,50,4,0,46
2020-07-31,49,0,3,46
2020-08-01,32,0,0,32
2020-08-02,31,0,3,28
2020-08-03,31,1,1,29
2020-08-04,20,4,1,15
2020-08-05,45,3,1,41
2020-08-06,33,11,1,21
2020-08-07,39,3,0,36
2020-08-08,23,0,0,23
2020-08-09,29,0,3,26
2020-08-10,6,4,2,0
2020-08-11,19,52,1,-34
2020-08-12,17,-42,2,57
2020-08-13,28,16,3,9
2020-08-14,19,12,1,6
2020-08-15,21,10,2,9
2020-08-16,13,9,0,4
2020-08-17,19,11,1,7
2020-08-18,6,59,1,-54
2020-08-19,5,7,-1,-1
2020-08-20,13,9,0,4
2020-08-21,2,3,0,-1
2020-08-22,5,18,1,-14
2020-08-23,2,5,1,-4
2020-08-24,6,19,0,-13
2020-08-25,7,5,0,2
2020-08-26,5,40,3,-38
2020-08-27,2,5,0,-3
2020-08-28,2,26,0,-24
2020-08-29,2,14,2,-14
