date,confirmed,recovered,deaths,active
2020-01-22,557,30,17,510
2020-01-23,98,2,1,95
2020-01-24,286,7,8,271
2020-01-25,493,3,16,474
2020-01-26,684,14,14,656
2020-01-27,809,9,26,774
2020-01-28,2651,43,49,2559
2020-01-29,589,19,2,568
2020-01-30,2068,18,38,2012
2020-01-31,1692,80,42,1570
2020-02-01,2111,62,46,2003
2020-02-02,4749,189,103,4457
2020-02-03,3100,151,64,2885
2020-02-04,4011,230,66,3715
2020-02-05,3745,273,72,3400
2020-02-06,3162,363,70,2729
2020-02-07,3533,523,85,2925
2020-02-08,2731,601,87,2043
2020-02-09,3028,630,100,2298
2020-02-10,2537,702,107,1728
2020-02-11,2042,735,100,1207
2020-02-12,378,467,5,-94
2020-02-13,15152,1143,253,13756
2020-02-14,6485,1767,152,4566
2020-02-15,2076,1336,143,597
2020-02-16,2113,1470,104,539
2020-02-17,1936,1720,98,118
2020-02-18,1794,1765,140,-111
2020-02-19,421,1770,115,-1464
2020-02-20,547,2058,123,-1634
2020-02-21,629,713,4,-88
2020-02-22,1761,3998,207,-2444
2020-02-23,323,506,10,-193
2020-02-24,568,1832,160,-1424
2020-02-25,854,2678,80,-1904
2020-02-26,963,2471,60,-1568
2020-02-27,1359,2894,43,-1578
2020-02-28,1388,3432,57,-2101
2020-02-29,1894,3071,70,-1247
2020-03-01,2378,2936,54,-612
2020-03-02,1979,2884,89,-994
2020-03-03,2600,2622,74,-96
2020-03-04,2302,2943,95,-736
2020-03-05,2818,2626,93,99
2020-03-06,3916,2038,113,1765
2020-03-07,4097,2494,104,1499
2020-03-08,3938,2337,240,1361
2020-03-09,4181,1800,190,2191
2020-03-10,4823,1907,276,2640
2020-03-11,7659,2312,344,5003
2020-03-12,5799,1329,309,4161
2020-03-13,14351,1927,492,11932
2020-03-14,11095,2367,421,8307
2020-03-15,11276,3409,650,7217
2020-03-16,14785,2055,687,12043
2020-03-17,16002,2744,816,12442
2020-03-18,19538,2487,918,16133
2020-03-19,27097,1641,1116,24340
2020-03-20,30880,2445,1495,26940
2020-03-21,32112,4247,1722,26143
2020-03-22,35130,6217,1684,27229
2020-03-23,42665,488,1957,40220
2020-03-24,41058,9619,2308,29131
2020-03-25,51087,5517,2824,42746
2020-03-26,62846,8362,3040,51444
2020-03-27,64892,8784,3485,52623
2020-03-28,69661,8511,3836,57314
2020-03-29,56895,9450,3477,43968
2020-03-30,65276,15336,4081,45859
2020-03-31,76807,13590,4732,58485
2020-04-01,82901,15267,6011,61623
2020-04-02,82897,17123,5892,59882
2020-04-03,84312,15422,6178,62712
2020-04-04,58924,20406,5980,32538
2020-04-05,71101,13829,5243,52029
2020-04-06,73868,16705,5935,51228
2020-04-07,69381,23261,8309,37811
2020-04-08,83304,28873,6827,47604
2020-04-09,87316,25247,7867,54202
2020-04-10,85384,21737,7416,56231
2020-04-11,74454,26236,6286,41932
2020-04-12,119500,19377,5940,94183
2020-04-13,70906,27256,6019,37631
2020-04-14,83833,25049,7103,51681
2020-04-15,78150,36536,8544,33070
2020-04-16,95349,30873,7417,57059
2020-04-17,88169,26170,8498,53501
2020-04-18,77212,23861,6201,47150
